# x_val	p(x)
0.000000e+00	7.646503e-02
2.100000e-03	7.716248e-02
5.200000e-03	7.505831e-02
1.300000e-02	7.533813e-02
3.300000e-02	7.886081e-02
8.200000e-02	7.724241e-02
2.000000e-01	7.845796e-02
5.100000e-01	7.819218e-02
1.300000e+00	7.851038e-02
3.200000e+00	7.630878e-02
8.000000e+00	7.512043e-02
2.000000e+01	7.530568e-02
5.000000e+01	7.797740e-02
