# x_val	p(x)
0.000000e+00	1.001054e-01
2.100000e-03	4.682035e-02
5.200000e-03	4.375466e-02
1.300000e-02	4.573459e-02
3.300000e-02	1.159489e-01
8.200000e-02	9.575564e-02
2.000000e-01	1.126804e-01
5.100000e-01	1.095833e-01
1.300000e+00	1.028971e-01
3.200000e+00	2.371493e-02
8.000000e+00	9.228948e-02
2.000000e+01	1.098711e-03
5.000000e+01	1.096165e-01
