Response	Normalized_PDF
-0.02126673905	0.008498583569
0.00633230285	0.01274787535
0.03393134475	0.02407932011
0.06153038665	0.02974504249
0.08912942855	0.03116147309
0.1167284704	0.03682719547
0.1443275123	0.04674220963
0.1719265543	0.06090651558
0.1995255962	0.06373937677
0.227124638	0.06090651558
0.25472368	0.06373937677
0.2823227218	0.07932011331
0.3099217638	0.04249291785
0.3375208056	0.0552407932
0.3651198475	0.04249291785
0.3927188894	0.05099150142
0.4203179313	0.02974504249
0.4479169733	0.04249291785
0.4755160151	0.03116147309
0.5031150571	0.03824362606
0.5307140989	0.02266288952
0.5583131408	0.01699716714
0.5859121828	0.01983002833
0.6135112246	0.01983002833
0.6411102665	0.008498583569
0.6687093084	0.008498583569
0.6963083504	0.01558073654
0.7239073922	0.009915014164
0.7515064341	0.008498583569
0.7791054761	0.004249291785
0.8067045179	0.004249291785
0.8343035598	0.00283286119
0.8619026017	0.00283286119
0.8895016436	0
0.9171006855	0.00283286119
0.9446997274	0
0.9722987694	0
0.9998978112	0
1.027496853	0
1.055095895	0.001416430595
