Response	Normalized_PDF
-0.2070201299	0.001416430595
-0.1926801337	0
-0.1783401376	0.001416430595
-0.1640001414	0
-0.1496601452	0
-0.135320149	0
-0.1209801529	0.00283286119
-0.1066401567	0.00283286119
-0.09230016051	0.004249291785
-0.07796016434	0.001416430595
-0.06362016816	0
-0.04928017199	0.00566572238
-0.03494017581	0.00566572238
-0.02060017964	0.01274787535
-0.006260183463	0.02266288952
0.008079812712	0.04390934844
0.02241980889	0.05807365439
0.03675980506	0.0552407932
0.05109980124	0.08781869688
0.06543979741	0.1133144476
0.07977979359	0.09631728045
0.09411978976	0.07932011331
0.1084597859	0.06657223796
0.1227997821	0.06940509915
0.1371397783	0.06798866856
0.1514797745	0.02974504249
0.1658197706	0.03257790368
0.1801597668	0.0269121813
0.194499763	0.02407932011
0.2088397592	0.01983002833
0.2231797553	0.01699716714
0.2375197515	0.01558073654
0.2518597477	0.007082152975
0.2661997439	0.008498583569
0.28053974	0.00283286119
0.2948797362	0
0.3092197324	0.00283286119
0.3235597286	0.008498583569
0.3378997247	0.00283286119
0.3522397209	0.00283286119
