Response	Normalized_PDF
-0.1223743222	0.002688172043
-0.0999977726	0.001344086022
-0.077621223	0.002688172043
-0.0552446734	0.002688172043
-0.0328681238	0.002688172043
-0.0104915742	0.005376344086
0.0118849754	0.02553763441
0.034261525	0.01747311828
0.0566380746	0.03494623656
0.0790146242	0.04838709677
0.1013911738	0.0564516129
0.1237677234	0.0685483871
0.146144273	0.09005376344
0.1685208226	0.09677419355
0.1908973722	0.0752688172
0.2132739218	0.05779569892
0.2356504714	0.06586021505
0.258027021	0.04838709677
0.2804035706	0.04435483871
0.3027801202	0.04301075269
0.3251566698	0.03629032258
0.3475332194	0.02284946237
0.369909769	0.0188172043
0.3922863186	0.02150537634
0.4146628682	0.01478494624
0.4370394178	0.02956989247
0.4594159674	0.008064516129
0.481792517	0.01747311828
0.5041690666	0.002688172043
0.5265456162	0.002688172043
0.5489221658	0.009408602151
0.5712987154	0.001344086022
0.593675265	0.004032258065
0.6160518146	0.006720430108
0.6384283642	0.005376344086
0.6608049138	0.002688172043
0.6831814634	0.002688172043
0.705558013	0
0.7279345626	0
0.7503111122	0.002688172043
