Response	Normalized_PDF
0.01694104721	0.006720430108
0.04489602564	0.008064516129
0.07285100406	0.02016129032
0.1008059825	0.02150537634
0.1287609609	0.02150537634
0.1567159393	0.01747311828
0.1846709178	0.02822580645
0.2126258962	0.03629032258
0.2405808746	0.0564516129
0.268535853	0.05779569892
0.2964908315	0.07795698925
0.3244458099	0.06182795699
0.3524007883	0.06182795699
0.3803557667	0.06182795699
0.4083107452	0.0564516129
0.4362657236	0.05913978495
0.464220702	0.05913978495
0.4921756804	0.04435483871
0.5201306589	0.04166666667
0.5480856373	0.04704301075
0.5760406157	0.02419354839
0.6039955941	0.02150537634
0.6319505726	0.02553763441
0.659905551	0.01478494624
0.6878605294	0.008064516129
0.7158155078	0.01344086022
0.7437704863	0.008064516129
0.7717254647	0.01209677419
0.7996804431	0.006720430108
0.8276354215	0.006720430108
0.8555904	0.002688172043
0.8835453784	0.004032258065
0.9115003568	0.001344086022
0.9394553352	0.001344086022
0.9674103137	0
0.9953652921	0
1.023320271	0
1.051275249	0.001344086022
1.079230227	0.001344086022
1.107185206	0.001344086022
