SOS_Response	RAF_Response	Normalized_PDF
-0.02126673905	-0.2628004618	0.001416430595
-0.02126673905	-0.2349795333	0
-0.02126673905	-0.2071586048	0
-0.02126673905	-0.1793376763	0
-0.02126673905	-0.1515167479	0
-0.02126673905	-0.1236958194	0
-0.02126673905	-0.09587489091	0
-0.02126673905	-0.06805396244	0.001416430595
-0.02126673905	-0.04023303396	0
-0.02126673905	-0.01241210549	0.001416430595
-0.02126673905	0.01540882299	0
-0.02126673905	0.04322975146	0.001416430595
-0.02126673905	0.07105067994	0.001416430595
-0.02126673905	0.09887160841	0
-0.02126673905	0.1266925369	0
-0.02126673905	0.1545134654	0
-0.02126673905	0.1823343938	0
-0.02126673905	0.2101553223	0
-0.02126673905	0.2379762508	0
-0.02126673905	0.2657971793	0
-0.02126673905	0.2936181077	0
-0.02126673905	0.3214390362	0
-0.02126673905	0.3492599647	0
-0.02126673905	0.3770808932	0
-0.02126673905	0.4049018216	0.001416430595
-0.02126673905	0.4327227501	0
-0.02126673905	0.4605436786	0
-0.02126673905	0.4883646071	0
-0.02126673905	0.5161855355	0
-0.02126673905	0.544006464	0
-0.02126673905	0.5718273925	0
-0.02126673905	0.599648321	0
-0.02126673905	0.6274692494	0
-0.02126673905	0.6552901779	0
-0.02126673905	0.6831111064	0
-0.02126673905	0.7109320349	0
-0.02126673905	0.7387529633	0
-0.02126673905	0.7665738918	0
-0.02126673905	0.7943948203	0
-0.02126673905	0.8222157488	0
0.00633230285	-0.2628004618	0
0.00633230285	-0.2349795333	0
0.00633230285	-0.2071586048	0
0.00633230285	-0.1793376763	0
0.00633230285	-0.1515167479	0
0.00633230285	-0.1236958194	0
0.00633230285	-0.09587489091	0
0.00633230285	-0.06805396244	0
0.00633230285	-0.04023303396	0
0.00633230285	-0.01241210549	0
0.00633230285	0.01540882299	0
0.00633230285	0.04322975146	0
0.00633230285	0.07105067994	0
0.00633230285	0.09887160841	0.004249291785
0.00633230285	0.1266925369	0.00283286119
0.00633230285	0.1545134654	0.001416430595
0.00633230285	0.1823343938	0.001416430595
0.00633230285	0.2101553223	0
0.00633230285	0.2379762508	0
0.00633230285	0.2657971793	0.00283286119
0.00633230285	0.2936181077	0
0.00633230285	0.3214390362	0
0.00633230285	0.3492599647	0
0.00633230285	0.3770808932	0
0.00633230285	0.4049018216	0
0.00633230285	0.4327227501	0
0.00633230285	0.4605436786	0
0.00633230285	0.4883646071	0
0.00633230285	0.5161855355	0
0.00633230285	0.544006464	0
0.00633230285	0.5718273925	0
0.00633230285	0.599648321	0
0.00633230285	0.6274692494	0
0.00633230285	0.6552901779	0
0.00633230285	0.6831111064	0
0.00633230285	0.7109320349	0
0.00633230285	0.7387529633	0
0.00633230285	0.7665738918	0
0.00633230285	0.7943948203	0
0.00633230285	0.8222157488	0
0.03393134475	-0.2628004618	0
0.03393134475	-0.2349795333	0
0.03393134475	-0.2071586048	0
0.03393134475	-0.1793376763	0
0.03393134475	-0.1515167479	0
0.03393134475	-0.1236958194	0
0.03393134475	-0.09587489091	0
0.03393134475	-0.06805396244	0.001416430595
0.03393134475	-0.04023303396	0.001416430595
0.03393134475	-0.01241210549	0
0.03393134475	0.01540882299	0.004249291785
0.03393134475	0.04322975146	0.00283286119
0.03393134475	0.07105067994	0
0.03393134475	0.09887160841	0.00283286119
0.03393134475	0.1266925369	0.004249291785
0.03393134475	0.1545134654	0
0.03393134475	0.1823343938	0.001416430595
0.03393134475	0.2101553223	0.001416430595
0.03393134475	0.2379762508	0.001416430595
0.03393134475	0.2657971793	0
0.03393134475	0.2936181077	0.001416430595
0.03393134475	0.3214390362	0
0.03393134475	0.3492599647	0.001416430595
0.03393134475	0.3770808932	0
0.03393134475	0.4049018216	0
0.03393134475	0.4327227501	0
0.03393134475	0.4605436786	0
0.03393134475	0.4883646071	0
0.03393134475	0.5161855355	0
0.03393134475	0.544006464	0
0.03393134475	0.5718273925	0
0.03393134475	0.599648321	0
0.03393134475	0.6274692494	0
0.03393134475	0.6552901779	0
0.03393134475	0.6831111064	0
0.03393134475	0.7109320349	0
0.03393134475	0.7387529633	0
0.03393134475	0.7665738918	0
0.03393134475	0.7943948203	0
0.03393134475	0.8222157488	0
0.06153038665	-0.2628004618	0
0.06153038665	-0.2349795333	0
0.06153038665	-0.2071586048	0
0.06153038665	-0.1793376763	0
0.06153038665	-0.1515167479	0
0.06153038665	-0.1236958194	0
0.06153038665	-0.09587489091	0
0.06153038665	-0.06805396244	0
0.06153038665	-0.04023303396	0
0.06153038665	-0.01241210549	0
0.06153038665	0.01540882299	0.001416430595
0.06153038665	0.04322975146	0.001416430595
0.06153038665	0.07105067994	0
0.06153038665	0.09887160841	0.00283286119
0.06153038665	0.1266925369	0.001416430595
0.06153038665	0.1545134654	0.004249291785
0.06153038665	0.1823343938	0.001416430595
0.06153038665	0.2101553223	0.004249291785
0.06153038665	0.2379762508	0.004249291785
0.06153038665	0.2657971793	0
0.06153038665	0.2936181077	0.001416430595
0.06153038665	0.3214390362	0.00283286119
0.06153038665	0.3492599647	0.001416430595
0.06153038665	0.3770808932	0
0.06153038665	0.4049018216	0
0.06153038665	0.4327227501	0.001416430595
0.06153038665	0.4605436786	0
0.06153038665	0.4883646071	0
0.06153038665	0.5161855355	0
0.06153038665	0.544006464	0.001416430595
0.06153038665	0.5718273925	0
0.06153038665	0.599648321	0
0.06153038665	0.6274692494	0
0.06153038665	0.6552901779	0
0.06153038665	0.6831111064	0
0.06153038665	0.7109320349	0
0.06153038665	0.7387529633	0
0.06153038665	0.7665738918	0
0.06153038665	0.7943948203	0
0.06153038665	0.8222157488	0
0.08912942855	-0.2628004618	0
0.08912942855	-0.2349795333	0
0.08912942855	-0.2071586048	0
0.08912942855	-0.1793376763	0
0.08912942855	-0.1515167479	0
0.08912942855	-0.1236958194	0
0.08912942855	-0.09587489091	0
0.08912942855	-0.06805396244	0
0.08912942855	-0.04023303396	0
0.08912942855	-0.01241210549	0
0.08912942855	0.01540882299	0
0.08912942855	0.04322975146	0
0.08912942855	0.07105067994	0.001416430595
0.08912942855	0.09887160841	0.00283286119
0.08912942855	0.1266925369	0.001416430595
0.08912942855	0.1545134654	0.00283286119
0.08912942855	0.1823343938	0.001416430595
0.08912942855	0.2101553223	0.004249291785
0.08912942855	0.2379762508	0.001416430595
0.08912942855	0.2657971793	0.004249291785
0.08912942855	0.2936181077	0.00283286119
0.08912942855	0.3214390362	0.001416430595
0.08912942855	0.3492599647	0.001416430595
0.08912942855	0.3770808932	0.001416430595
0.08912942855	0.4049018216	0
0.08912942855	0.4327227501	0.001416430595
0.08912942855	0.4605436786	0.001416430595
0.08912942855	0.4883646071	0
0.08912942855	0.5161855355	0
0.08912942855	0.544006464	0.001416430595
0.08912942855	0.5718273925	0
0.08912942855	0.599648321	0
0.08912942855	0.6274692494	0
0.08912942855	0.6552901779	0
0.08912942855	0.6831111064	0
0.08912942855	0.7109320349	0
0.08912942855	0.7387529633	0
0.08912942855	0.7665738918	0
0.08912942855	0.7943948203	0
0.08912942855	0.8222157488	0
0.1167284704	-0.2628004618	0
0.1167284704	-0.2349795333	0
0.1167284704	-0.2071586048	0
0.1167284704	-0.1793376763	0
0.1167284704	-0.1515167479	0
0.1167284704	-0.1236958194	0
0.1167284704	-0.09587489091	0
0.1167284704	-0.06805396244	0
0.1167284704	-0.04023303396	0
0.1167284704	-0.01241210549	0
0.1167284704	0.01540882299	0.001416430595
0.1167284704	0.04322975146	0
0.1167284704	0.07105067994	0
0.1167284704	0.09887160841	0.00283286119
0.1167284704	0.1266925369	0.00566572238
0.1167284704	0.1545134654	0.00283286119
0.1167284704	0.1823343938	0.004249291785
0.1167284704	0.2101553223	0.00566572238
0.1167284704	0.2379762508	0.001416430595
0.1167284704	0.2657971793	0.004249291785
0.1167284704	0.2936181077	0.001416430595
0.1167284704	0.3214390362	0.00283286119
0.1167284704	0.3492599647	0.00283286119
0.1167284704	0.3770808932	0
0.1167284704	0.4049018216	0
0.1167284704	0.4327227501	0
0.1167284704	0.4605436786	0
0.1167284704	0.4883646071	0
0.1167284704	0.5161855355	0
0.1167284704	0.544006464	0
0.1167284704	0.5718273925	0.001416430595
0.1167284704	0.599648321	0
0.1167284704	0.6274692494	0
0.1167284704	0.6552901779	0
0.1167284704	0.6831111064	0
0.1167284704	0.7109320349	0
0.1167284704	0.7387529633	0
0.1167284704	0.7665738918	0
0.1167284704	0.7943948203	0
0.1167284704	0.8222157488	0
0.1443275123	-0.2628004618	0
0.1443275123	-0.2349795333	0
0.1443275123	-0.2071586048	0
0.1443275123	-0.1793376763	0
0.1443275123	-0.1515167479	0
0.1443275123	-0.1236958194	0
0.1443275123	-0.09587489091	0
0.1443275123	-0.06805396244	0
0.1443275123	-0.04023303396	0
0.1443275123	-0.01241210549	0
0.1443275123	0.01540882299	0.001416430595
0.1443275123	0.04322975146	0.001416430595
0.1443275123	0.07105067994	0
0.1443275123	0.09887160841	0.001416430595
0.1443275123	0.1266925369	0.00283286119
0.1443275123	0.1545134654	0.008498583569
0.1443275123	0.1823343938	0.004249291785
0.1443275123	0.2101553223	0.008498583569
0.1443275123	0.2379762508	0.001416430595
0.1443275123	0.2657971793	0.001416430595
0.1443275123	0.2936181077	0.007082152975
0.1443275123	0.3214390362	0
0.1443275123	0.3492599647	0.001416430595
0.1443275123	0.3770808932	0.00283286119
0.1443275123	0.4049018216	0.00283286119
0.1443275123	0.4327227501	0
0.1443275123	0.4605436786	0
0.1443275123	0.4883646071	0
0.1443275123	0.5161855355	0
0.1443275123	0.544006464	0.001416430595
0.1443275123	0.5718273925	0
0.1443275123	0.599648321	0
0.1443275123	0.6274692494	0
0.1443275123	0.6552901779	0
0.1443275123	0.6831111064	0
0.1443275123	0.7109320349	0
0.1443275123	0.7387529633	0
0.1443275123	0.7665738918	0
0.1443275123	0.7943948203	0
0.1443275123	0.8222157488	0
0.1719265543	-0.2628004618	0
0.1719265543	-0.2349795333	0
0.1719265543	-0.2071586048	0
0.1719265543	-0.1793376763	0
0.1719265543	-0.1515167479	0
0.1719265543	-0.1236958194	0
0.1719265543	-0.09587489091	0
0.1719265543	-0.06805396244	0
0.1719265543	-0.04023303396	0
0.1719265543	-0.01241210549	0
0.1719265543	0.01540882299	0
0.1719265543	0.04322975146	0
0.1719265543	0.07105067994	0.001416430595
0.1719265543	0.09887160841	0
0.1719265543	0.1266925369	0.004249291785
0.1719265543	0.1545134654	0.00566572238
0.1719265543	0.1823343938	0.001416430595
0.1719265543	0.2101553223	0.00566572238
0.1719265543	0.2379762508	0.008498583569
0.1719265543	0.2657971793	0.00566572238
0.1719265543	0.2936181077	0.00283286119
0.1719265543	0.3214390362	0.009915014164
0.1719265543	0.3492599647	0.00283286119
0.1719265543	0.3770808932	0.001416430595
0.1719265543	0.4049018216	0.00566572238
0.1719265543	0.4327227501	0.001416430595
0.1719265543	0.4605436786	0
0.1719265543	0.4883646071	0.001416430595
0.1719265543	0.5161855355	0
0.1719265543	0.544006464	0
0.1719265543	0.5718273925	0
0.1719265543	0.599648321	0.001416430595
0.1719265543	0.6274692494	0
0.1719265543	0.6552901779	0
0.1719265543	0.6831111064	0
0.1719265543	0.7109320349	0
0.1719265543	0.7387529633	0.001416430595
0.1719265543	0.7665738918	0
0.1719265543	0.7943948203	0
0.1719265543	0.8222157488	0
0.1995255962	-0.2628004618	0
0.1995255962	-0.2349795333	0
0.1995255962	-0.2071586048	0
0.1995255962	-0.1793376763	0
0.1995255962	-0.1515167479	0
0.1995255962	-0.1236958194	0
0.1995255962	-0.09587489091	0
0.1995255962	-0.06805396244	0
0.1995255962	-0.04023303396	0.001416430595
0.1995255962	-0.01241210549	0
0.1995255962	0.01540882299	0.001416430595
0.1995255962	0.04322975146	0
0.1995255962	0.07105067994	0.001416430595
0.1995255962	0.09887160841	0.001416430595
0.1995255962	0.1266925369	0.00283286119
0.1995255962	0.1545134654	0.00283286119
0.1995255962	0.1823343938	0.004249291785
0.1995255962	0.2101553223	0.008498583569
0.1995255962	0.2379762508	0.004249291785
0.1995255962	0.2657971793	0.00566572238
0.1995255962	0.2936181077	0.009915014164
0.1995255962	0.3214390362	0.004249291785
0.1995255962	0.3492599647	0.001416430595
0.1995255962	0.3770808932	0.00566572238
0.1995255962	0.4049018216	0.00283286119
0.1995255962	0.4327227501	0
0.1995255962	0.4605436786	0.001416430595
0.1995255962	0.4883646071	0
0.1995255962	0.5161855355	0
0.1995255962	0.544006464	0.001416430595
0.1995255962	0.5718273925	0.00283286119
0.1995255962	0.599648321	0
0.1995255962	0.6274692494	0
0.1995255962	0.6552901779	0
0.1995255962	0.6831111064	0
0.1995255962	0.7109320349	0
0.1995255962	0.7387529633	0
0.1995255962	0.7665738918	0
0.1995255962	0.7943948203	0
0.1995255962	0.8222157488	0
0.227124638	-0.2628004618	0
0.227124638	-0.2349795333	0
0.227124638	-0.2071586048	0
0.227124638	-0.1793376763	0
0.227124638	-0.1515167479	0
0.227124638	-0.1236958194	0
0.227124638	-0.09587489091	0
0.227124638	-0.06805396244	0
0.227124638	-0.04023303396	0
0.227124638	-0.01241210549	0
0.227124638	0.01540882299	0
0.227124638	0.04322975146	0
0.227124638	0.07105067994	0.001416430595
0.227124638	0.09887160841	0
0.227124638	0.1266925369	0.004249291785
0.227124638	0.1545134654	0.00283286119
0.227124638	0.1823343938	0.007082152975
0.227124638	0.2101553223	0.00283286119
0.227124638	0.2379762508	0.007082152975
0.227124638	0.2657971793	0.00566572238
0.227124638	0.2936181077	0.001416430595
0.227124638	0.3214390362	0.00566572238
0.227124638	0.3492599647	0.01133144476
0.227124638	0.3770808932	0.00566572238
0.227124638	0.4049018216	0.001416430595
0.227124638	0.4327227501	0
0.227124638	0.4605436786	0
0.227124638	0.4883646071	0
0.227124638	0.5161855355	0.001416430595
0.227124638	0.544006464	0.001416430595
0.227124638	0.5718273925	0
0.227124638	0.599648321	0
0.227124638	0.6274692494	0.001416430595
0.227124638	0.6552901779	0
0.227124638	0.6831111064	0
0.227124638	0.7109320349	0
0.227124638	0.7387529633	0
0.227124638	0.7665738918	0
0.227124638	0.7943948203	0
0.227124638	0.8222157488	0
0.25472368	-0.2628004618	0
0.25472368	-0.2349795333	0
0.25472368	-0.2071586048	0
0.25472368	-0.1793376763	0
0.25472368	-0.1515167479	0
0.25472368	-0.1236958194	0
0.25472368	-0.09587489091	0
0.25472368	-0.06805396244	0
0.25472368	-0.04023303396	0
0.25472368	-0.01241210549	0
0.25472368	0.01540882299	0
0.25472368	0.04322975146	0
0.25472368	0.07105067994	0.001416430595
0.25472368	0.09887160841	0.001416430595
0.25472368	0.1266925369	0.00283286119
0.25472368	0.1545134654	0.00566572238
0.25472368	0.1823343938	0.00283286119
0.25472368	0.2101553223	0.00566572238
0.25472368	0.2379762508	0.004249291785
0.25472368	0.2657971793	0.008498583569
0.25472368	0.2936181077	0.00566572238
0.25472368	0.3214390362	0.007082152975
0.25472368	0.3492599647	0.004249291785
0.25472368	0.3770808932	0.00566572238
0.25472368	0.4049018216	0.00283286119
0.25472368	0.4327227501	0.001416430595
0.25472368	0.4605436786	0
0.25472368	0.4883646071	0
0.25472368	0.5161855355	0.001416430595
0.25472368	0.544006464	0
0.25472368	0.5718273925	0
0.25472368	0.599648321	0
0.25472368	0.6274692494	0.001416430595
0.25472368	0.6552901779	0.001416430595
0.25472368	0.6831111064	0
0.25472368	0.7109320349	0
0.25472368	0.7387529633	0
0.25472368	0.7665738918	0
0.25472368	0.7943948203	0
0.25472368	0.8222157488	0
0.2823227218	-0.2628004618	0
0.2823227218	-0.2349795333	0
0.2823227218	-0.2071586048	0
0.2823227218	-0.1793376763	0
0.2823227218	-0.1515167479	0
0.2823227218	-0.1236958194	0
0.2823227218	-0.09587489091	0
0.2823227218	-0.06805396244	0
0.2823227218	-0.04023303396	0
0.2823227218	-0.01241210549	0
0.2823227218	0.01540882299	0
0.2823227218	0.04322975146	0
0.2823227218	0.07105067994	0.001416430595
0.2823227218	0.09887160841	0.00283286119
0.2823227218	0.1266925369	0.001416430595
0.2823227218	0.1545134654	0.00566572238
0.2823227218	0.1823343938	0.004249291785
0.2823227218	0.2101553223	0.008498583569
0.2823227218	0.2379762508	0.007082152975
0.2823227218	0.2657971793	0.00566572238
0.2823227218	0.2936181077	0.00566572238
0.2823227218	0.3214390362	0.00283286119
0.2823227218	0.3492599647	0.007082152975
0.2823227218	0.3770808932	0.008498583569
