0.1000000E-03   0.7604694E+02   0.1355824E+01   0.9205132E+00
0.2000000E-03   0.4722946E+02   0.8640715E+00   0.8355595E+00
0.3000000E-03   0.3313558E+02   0.5891290E+00   0.7470711E+00
0.4000000E-03   0.2416217E+02   0.4121910E+00   0.6597544E+00
0.5000000E-03   0.1800771E+02   0.2968259E+00   0.5808068E+00
0.6000000E-03   0.1377158E+02   0.2235058E+00   0.5161775E+00
0.7000000E-03   0.1087132E+02   0.1774126E+00   0.4669429E+00
0.8000000E-03   0.8859330E+01   0.1478228E+00   0.4304559E+00
0.9000000E-03   0.7423413E+01   0.1280458E+00   0.4032948E+00
0.1000000E-02   0.6364248E+01   0.1142261E+00   0.3826878E+00
0.2000000E-02   0.2559373E+01   0.7043495E-01   0.3050047E+00
0.3000000E-02   0.1593079E+01   0.6086927E-01   0.2844654E+00
0.4000000E-02   0.1155746E+01   0.5675725E-01   0.2750753E+00
0.5000000E-02   0.9066633E+00   0.5447655E-01   0.2697022E+00
0.6000000E-02   0.7458632E+00   0.5302798E-01   0.2662242E+00
0.7000000E-02   0.6334910E+00   0.5202678E-01   0.2637894E+00
0.8000000E-02   0.5505378E+00   0.5129358E-01   0.2619899E+00
0.8999999E-02   0.4867901E+00   0.5073353E-01   0.2606056E+00
0.1000000E-01   0.4362712E+00   0.5029180E-01   0.2595079E+00
0.2000000E-01   0.2140788E+00   0.4837110E-01   0.2546717E+00
0.3000000E-01   0.1418374E+00   0.4775439E-01   0.2530965E+00
0.4000000E-01   0.1060501E+00   0.4745030E-01   0.2523157E+00
0.5000000E-01   0.8468344E-01   0.4726919E-01   0.2518494E+00
0.6000000E-01   0.7048271E-01   0.4714901E-01   0.2515394E+00
0.7000000E-01   0.6036069E-01   0.4706344E-01   0.2513184E+00
0.8000000E-01   0.5278083E-01   0.4699941E-01   0.2511529E+00
0.8999999E-01   0.4689228E-01   0.4694969E-01   0.2510243E+00
0.1000000E+00   0.4218578E-01   0.4690997E-01   0.2509215E+00
0.2000000E+00   0.2105409E-01   0.4673184E-01   0.2504599E+00
0.3000000E+00   0.1402746E-01   0.4667269E-01   0.2503064E+00
0.4000000E+00   0.1051737E-01   0.4664315E-01   0.2502297E+00
0.5000000E+00   0.8412354E-02   0.4662544E-01   0.2501838E+00
0.6000000E+00   0.7009435E-02   0.4661364E-01   0.2501531E+00
0.7000000E+00   0.6007562E-02   0.4660521E-01   0.2501312E+00
0.8000000E+00   0.5256272E-02   0.4659889E-01   0.2501148E+00
0.9000000E+00   0.4672003E-02   0.4659398E-01   0.2501020E+00
0.1000000E+01   0.4204631E-02   0.4659005E-01   0.2500918E+00
0.2000000E+01   0.2101930E-02   0.4657237E-01   0.2500459E+00
0.3000000E+01   0.1401200E-02   0.4656648E-01   0.2500306E+00
0.4000000E+01   0.1050867E-02   0.4656353E-01   0.2500229E+00
0.5000000E+01   0.8406800E-03   0.4656176E-01   0.2500183E+00
0.6000000E+01   0.7005528E-03   0.4656059E-01   0.2500153E+00
0.7000000E+01   0.6004726E-03   0.4655975E-01   0.2500131E+00
0.8000000E+01   0.5254079E-03   0.4655911E-01   0.2500114E+00
0.9000000E+01   0.4670239E-03   0.4655862E-01   0.2500102E+00
0.1000000E+02   0.4203226E-03   0.4655823E-01   0.2500091E+00
