0.1314977E-01   0.1355824E+01
0.2117322E-01   0.8640715E+00
0.3017903E-01   0.5891290E+00
0.4138699E-01   0.4121910E+00
0.5553175E-01   0.2968259E+00
0.7261329E-01   0.2235058E+00
0.9198508E-01   0.1774126E+00
0.1128753E+00   0.1478228E+00
0.1347089E+00   0.1280458E+00
0.1571277E+00   0.1142261E+00
0.3907206E+00   0.7043495E-01
0.6277151E+00   0.6086927E-01
0.8652418E+00   0.5675725E-01
0.1102945E+01   0.5447655E-01
0.1340728E+01   0.5302798E-01
0.1578554E+01   0.5202678E-01
0.1816405E+01   0.5129358E-01
0.2054273E+01   0.5073353E-01
0.2292152E+01   0.5029180E-01
0.4671175E+01   0.4837110E-01
0.7050321E+01   0.4775439E-01
0.9429497E+01   0.4745030E-01
0.1180868E+02   0.4726919E-01
0.1418787E+02   0.4714901E-01
0.1656707E+02   0.4706344E-01
0.1894626E+02   0.4699941E-01
0.2132546E+02   0.4694969E-01
0.2370466E+02   0.4690997E-01
0.4749668E+02   0.4673184E-01
0.7128872E+02   0.4667269E-01
0.9508075E+02   0.4664315E-01
0.1188727E+03   0.4662544E-01
0.1426648E+03   0.4661364E-01
0.1664568E+03   0.4660521E-01
0.1902488E+03   0.4659889E-01
0.2140409E+03   0.4659398E-01
0.2378329E+03   0.4659005E-01
0.4757531E+03   0.4657237E-01
0.7136737E+03   0.4656648E-01
0.9515945E+03   0.4656353E-01
0.1189513E+04   0.4656176E-01
0.1427444E+04   0.4656059E-01
0.1665354E+04   0.4655975E-01
0.1903283E+04   0.4655911E-01
0.2141217E+04   0.4655862E-01
0.2379124E+04   0.4655823E-01
