# q	x_q
1.991992e-01	5.476767e-03
2.002002e-01	5.538721e-03
2.012012e-01	5.600676e-03
2.022022e-01	5.662630e-03
2.032032e-01	5.724585e-03
2.042042e-01	5.786539e-03
2.052052e-01	5.848493e-03
2.062062e-01	5.910448e-03
2.072072e-01	5.972402e-03
2.082082e-01	6.034357e-03
2.092092e-01	6.096311e-03
2.102102e-01	6.158266e-03
2.112112e-01	6.220220e-03
2.122122e-01	6.282175e-03
2.132132e-01	6.344129e-03
2.142142e-01	6.406084e-03
2.152152e-01	6.468038e-03
2.162162e-01	6.529993e-03
2.172172e-01	6.591947e-03
2.182182e-01	6.653902e-03
2.192192e-01	6.715856e-03
2.202202e-01	6.777811e-03
2.212212e-01	6.839765e-03
2.222222e-01	6.901720e-03
2.232232e-01	6.963674e-03
2.242242e-01	7.025629e-03
2.252252e-01	7.087583e-03
2.262262e-01	7.149538e-03
2.272272e-01	7.211492e-03
2.282282e-01	7.273447e-03
2.292292e-01	7.335401e-03
2.302302e-01	7.397356e-03
2.312312e-01	7.459310e-03
2.322322e-01	7.521265e-03
2.332332e-01	7.583219e-03
2.342342e-01	7.645174e-03
2.352352e-01	7.707128e-03
2.362362e-01	7.769083e-03
2.372372e-01	7.831037e-03
2.382382e-01	7.892991e-03
2.392392e-01	7.954946e-03
2.402402e-01	8.016900e-03
2.412412e-01	8.078855e-03
2.422422e-01	8.140809e-03
2.432432e-01	8.202764e-03
2.442442e-01	8.264718e-03
2.452452e-01	8.326673e-03
2.462462e-01	8.388627e-03
2.472472e-01	8.450582e-03
2.482482e-01	8.512536e-03
2.492492e-01	8.574491e-03
2.502503e-01	8.636445e-03
2.512513e-01	8.698400e-03
2.522523e-01	8.760354e-03
2.532533e-01	8.822309e-03
2.542543e-01	8.884263e-03
2.552553e-01	8.946218e-03
2.562563e-01	9.008172e-03
2.572573e-01	9.070127e-03
2.582583e-01	9.132081e-03
2.592593e-01	9.194036e-03
2.602603e-01	9.255990e-03
2.612613e-01	9.317945e-03
2.622623e-01	9.379899e-03
2.632633e-01	9.441854e-03
2.642643e-01	9.503808e-03
2.652653e-01	9.565763e-03
2.662663e-01	9.627717e-03
2.672673e-01	9.689672e-03
2.682683e-01	9.751626e-03
2.692693e-01	9.813580e-03
2.702703e-01	9.875535e-03
2.712713e-01	9.937489e-03
2.722723e-01	9.999444e-03
2.732733e-01	1.006140e-02
2.742743e-01	1.012335e-02
2.752753e-01	1.018531e-02
2.762763e-01	1.024726e-02
2.772773e-01	1.030922e-02
2.782783e-01	1.037117e-02
2.792793e-01	1.043313e-02
2.802803e-01	1.049508e-02
2.812813e-01	1.055703e-02
2.822823e-01	1.061899e-02
2.832833e-01	1.068094e-02
2.842843e-01	1.074290e-02
2.852853e-01	1.080485e-02
2.862863e-01	1.086681e-02
2.872873e-01	1.092876e-02
2.882883e-01	1.099072e-02
2.892893e-01	1.105267e-02
2.902903e-01	1.111462e-02
2.912913e-01	1.117658e-02
2.922923e-01	1.123853e-02
2.932933e-01	1.130049e-02
2.942943e-01	1.136244e-02
2.952953e-01	1.142440e-02
2.962963e-01	1.148635e-02
2.972973e-01	1.154831e-02
2.982983e-01	1.161026e-02
2.992993e-01	1.167222e-02
3.003003e-01	1.173417e-02
3.013013e-01	1.179612e-02
3.023023e-01	1.185808e-02
3.033033e-01	1.192003e-02
3.043043e-01	1.198199e-02
3.053053e-01	1.204394e-02
3.063063e-01	1.210590e-02
3.073073e-01	1.216785e-02
3.083083e-01	1.222981e-02
3.093093e-01	1.229176e-02
3.103103e-01	1.235371e-02
3.113113e-01	1.241567e-02
3.123123e-01	1.247762e-02
3.133133e-01	1.253958e-02
3.143143e-01	1.260153e-02
3.153153e-01	1.266349e-02
3.163163e-01	1.272544e-02
3.173173e-01	1.278740e-02
3.183183e-01	1.284935e-02
3.193193e-01	1.291130e-02
3.203203e-01	1.297326e-02
3.213213e-01	1.334178e-02
3.223223e-01	1.394311e-02
3.233233e-01	1.454444e-02
3.243243e-01	1.514577e-02
3.253253e-01	1.574709e-02
3.263263e-01	1.634842e-02
3.273273e-01	1.694975e-02
3.283283e-01	1.755108e-02
3.293293e-01	1.815241e-02
3.303303e-01	1.875373e-02
3.313313e-01	1.935506e-02
3.323323e-01	1.995639e-02
3.333333e-01	2.055772e-02
3.343343e-01	2.115905e-02
3.353353e-01	2.176037e-02
3.363363e-01	2.236170e-02
3.373373e-01	2.296303e-02
3.383383e-01	2.356436e-02
3.393393e-01	2.416569e-02
3.403403e-01	2.476701e-02
3.413413e-01	2.536834e-02
3.423423e-01	2.596967e-02
3.433433e-01	2.657100e-02
3.443443e-01	2.717232e-02
3.453453e-01	2.777365e-02
3.463463e-01	2.837498e-02
3.473473e-01	2.897631e-02
3.483483e-01	2.957764e-02
3.493493e-01	3.017896e-02
3.503504e-01	3.078029e-02
3.513514e-01	3.138162e-02
3.523524e-01	3.198295e-02
3.533534e-01	3.258428e-02
3.543544e-01	3.311721e-02
3.553554e-01	3.349694e-02
3.563564e-01	3.387667e-02
3.573574e-01	3.425640e-02
3.583584e-01	3.463614e-02
3.593594e-01	3.501587e-02
3.603604e-01	3.539560e-02
3.613614e-01	3.577533e-02
3.623624e-01	3.615507e-02
3.633634e-01	3.653480e-02
3.643644e-01	3.691453e-02
3.653654e-01	3.729426e-02
3.663664e-01	3.767400e-02
3.673674e-01	3.805373e-02
3.683684e-01	3.843346e-02
3.693694e-01	3.881319e-02
3.703704e-01	3.919293e-02
3.713714e-01	3.957266e-02
3.723724e-01	3.995239e-02
3.733734e-01	4.033212e-02
3.743744e-01	4.071186e-02
3.753754e-01	4.109159e-02
3.763764e-01	4.147132e-02
3.773774e-01	4.185105e-02
3.783784e-01	4.223079e-02
3.793794e-01	4.261052e-02
3.803804e-01	4.299025e-02
3.813814e-01	4.336998e-02
3.823824e-01	4.374972e-02
3.833834e-01	4.412945e-02
3.843844e-01	4.450918e-02
3.853854e-01	4.488891e-02
3.863864e-01	4.526865e-02
3.873874e-01	4.564838e-02
3.883884e-01	4.602811e-02
3.893894e-01	4.640784e-02
3.903904e-01	4.678758e-02
3.913914e-01	4.716731e-02
3.923924e-01	4.754704e-02
3.933934e-01	4.792677e-02
3.943944e-01	4.830651e-02
3.953954e-01	4.868624e-02
3.963964e-01	4.906597e-02
3.973974e-01	4.944570e-02
3.983984e-01	4.982544e-02
3.993994e-01	5.020517e-02
4.004004e-01	5.058490e-02
4.014014e-01	5.096463e-02
4.024024e-01	5.134437e-02
4.034034e-01	5.172410e-02
4.044044e-01	5.210383e-02
4.054054e-01	5.248356e-02
4.064064e-01	5.286330e-02
4.074074e-01	5.324303e-02
4.084084e-01	5.362276e-02
4.094094e-01	5.400249e-02
4.104104e-01	5.438223e-02
4.114114e-01	5.476196e-02
4.124124e-01	5.514169e-02
4.134134e-01	5.552142e-02
4.144144e-01	5.590116e-02
4.154154e-01	5.628089e-02
4.164164e-01	5.666062e-02
4.174174e-01	5.704035e-02
4.184184e-01	5.742009e-02
4.194194e-01	5.779982e-02
4.204204e-01	5.817955e-02
4.214214e-01	5.855928e-02
4.224224e-01	5.893902e-02
4.234234e-01	5.931875e-02
4.244244e-01	5.969848e-02
4.254254e-01	6.007821e-02
4.264264e-01	6.045795e-02
4.274274e-01	6.083768e-02
4.284284e-01	6.121741e-02
4.294294e-01	6.159714e-02
4.304304e-01	6.197688e-02
4.314314e-01	6.235661e-02
4.324324e-01	6.273634e-02
4.334334e-01	6.311607e-02
4.344344e-01	6.349581e-02
4.354354e-01	6.387554e-02
4.364364e-01	6.425527e-02
4.374374e-01	6.463500e-02
4.384384e-01	6.501474e-02
4.394394e-01	6.539447e-02
4.404404e-01	6.577420e-02
4.414414e-01	6.615393e-02
4.424424e-01	6.653367e-02
4.434434e-01	6.691340e-02
4.444444e-01	6.729313e-02
4.454454e-01	6.767286e-02
4.464464e-01	6.805260e-02
4.474474e-01	6.843233e-02
4.484484e-01	6.881206e-02
4.494494e-01	6.919179e-02
4.504505e-01	6.957153e-02
4.514515e-01	6.995126e-02
4.524525e-01	7.033099e-02
4.534535e-01	7.071072e-02
4.544545e-01	7.109046e-02
4.554555e-01	7.147019e-02
4.564565e-01	7.184992e-02
4.574575e-01	7.222965e-02
4.584585e-01	7.260939e-02
4.594595e-01	7.298912e-02
4.604605e-01	7.336885e-02
4.614615e-01	7.374858e-02
4.624625e-01	7.412832e-02
4.634635e-01	7.450805e-02
4.644645e-01	7.488778e-02
4.654655e-01	7.526751e-02
4.664665e-01	7.564725e-02
4.674675e-01	7.602698e-02
4.684685e-01	7.640671e-02
4.694695e-01	7.678644e-02
4.704705e-01	7.716617e-02
4.714715e-01	7.754591e-02
4.724725e-01	7.792564e-02
4.734735e-01	7.830537e-02
4.744745e-01	7.868510e-02
4.754755e-01	7.906484e-02
4.764765e-01	7.944457e-02
4.774775e-01	7.982430e-02
4.784785e-01	8.020403e-02
4.794795e-01	8.058377e-02
4.804805e-01	8.096350e-02
4.814815e-01	8.134323e-02
