# # p(y | x = 2.000000e-01)
# # y_val	p(y|x)
0.000000e+00	5.159069e-07
4.978917e+00	5.224651e-07
9.957833e+00	5.291012e-07
1.493675e+01	5.358161e-07
1.991567e+01	5.426108e-07
2.489458e+01	5.494859e-07
2.987350e+01	5.564425e-07
3.485242e+01	5.634814e-07
3.983133e+01	5.706035e-07
4.481025e+01	5.778098e-07
4.978917e+01	5.851010e-07
5.476808e+01	5.924782e-07
5.974700e+01	5.999423e-07
6.472592e+01	6.074942e-07
6.970483e+01	6.151349e-07
7.468375e+01	6.228654e-07
7.966267e+01	6.306865e-07
8.464158e+01	6.385993e-07
8.962050e+01	6.466048e-07
9.459942e+01	6.547039e-07
9.957833e+01	6.628978e-07
1.045573e+02	6.711873e-07
1.095362e+02	6.795735e-07
1.145151e+02	6.880575e-07
1.194940e+02	6.966402e-07
1.244729e+02	7.053229e-07
1.294518e+02	7.141064e-07
1.344308e+02	7.229919e-07
1.394097e+02	7.319806e-07
1.443886e+02	7.410734e-07
1.493675e+02	7.502714e-07
1.543464e+02	7.595759e-07
1.593253e+02	7.689879e-07
1.643043e+02	7.785086e-07
1.692832e+02	7.881391e-07
1.742621e+02	7.978806e-07
1.792410e+02	8.077342e-07
1.842199e+02	8.177012e-07
1.891988e+02	8.277827e-07
1.941778e+02	8.379799e-07
1.991567e+02	8.482941e-07
2.041356e+02	8.587264e-07
2.091145e+02	8.692782e-07
2.140934e+02	8.799506e-07
2.190723e+02	8.907449e-07
2.240513e+02	9.016625e-07
2.290302e+02	9.127045e-07
2.340091e+02	9.238723e-07
2.389880e+02	9.351672e-07
2.439669e+02	9.465905e-07
2.489458e+02	9.581436e-07
2.539248e+02	9.698277e-07
2.589037e+02	9.816444e-07
2.638826e+02	9.935948e-07
2.688615e+02	1.005680e-06
2.738404e+02	1.017903e-06
2.788193e+02	1.030263e-06
2.837983e+02	1.042763e-06
2.887772e+02	1.055403e-06
2.937561e+02	1.068186e-06
2.987350e+02	1.081113e-06
3.037139e+02	1.094184e-06
3.086928e+02	1.107403e-06
3.136718e+02	1.120770e-06
3.186507e+02	1.134287e-06
3.236296e+02	1.147954e-06
3.286085e+02	1.161775e-06
3.335874e+02	1.175750e-06
3.385663e+02	1.189881e-06
3.435453e+02	1.204170e-06
3.485242e+02	1.218618e-06
3.535031e+02	1.233226e-06
3.584820e+02	1.247997e-06
3.634609e+02	1.262932e-06
3.684398e+02	1.278032e-06
3.734188e+02	1.293300e-06
3.783977e+02	1.308737e-06
3.833766e+02	1.324344e-06
3.883555e+02	1.340124e-06
3.933344e+02	1.356078e-06
3.983133e+02	1.372208e-06
4.032923e+02	1.388516e-06
4.082712e+02	1.405003e-06
4.132501e+02	1.421672e-06
4.182290e+02	1.438523e-06
4.232079e+02	1.455559e-06
4.281868e+02	1.472783e-06
4.331658e+02	1.490194e-06
4.381447e+02	1.507796e-06
4.431236e+02	1.525591e-06
4.481025e+02	1.543579e-06
4.530814e+02	1.561764e-06
4.580603e+02	1.580147e-06
4.630393e+02	1.598729e-06
4.680182e+02	1.617514e-06
4.729971e+02	1.636503e-06
4.779760e+02	1.655698e-06
4.829549e+02	1.675101e-06
4.879338e+02	1.694714e-06
4.929128e+02	1.714539e-06
4.978917e+02	1.734578e-06
5.028706e+02	1.754834e-06
5.078495e+02	1.775307e-06
5.128284e+02	1.796002e-06
5.178073e+02	1.816919e-06
5.227863e+02	1.838061e-06
5.277652e+02	1.859430e-06
5.327441e+02	1.881028e-06
5.377230e+02	1.902857e-06
5.427019e+02	1.924921e-06
5.476808e+02	1.947220e-06
5.526598e+02	1.969757e-06
5.576387e+02	1.992535e-06
5.626176e+02	2.015556e-06
5.675965e+02	2.038821e-06
5.725754e+02	2.062334e-06
5.775543e+02	2.086098e-06
5.825333e+02	2.110113e-06
5.875122e+02	2.134383e-06
5.924911e+02	2.158910e-06
5.974700e+02	2.183696e-06
6.024489e+02	2.208745e-06
6.074278e+02	2.234058e-06
6.124068e+02	2.259638e-06
6.173857e+02	2.285488e-06
6.223646e+02	2.311609e-06
6.273435e+02	2.338006e-06
6.323224e+02	2.364679e-06
6.373013e+02	2.391633e-06
6.422803e+02	2.418869e-06
6.472592e+02	2.446390e-06
6.522381e+02	2.474199e-06
6.572170e+02	2.502299e-06
6.621959e+02	2.530691e-06
6.671748e+02	2.559380e-06
6.721538e+02	2.588368e-06
6.771327e+02	2.617657e-06
6.821116e+02	2.647250e-06
6.870905e+02	2.677151e-06
6.920694e+02	2.707362e-06
6.970483e+02	2.737886e-06
7.020273e+02	2.768725e-06
7.070062e+02	2.799884e-06
7.119851e+02	2.831364e-06
7.169640e+02	2.863168e-06
7.219429e+02	2.895301e-06
7.269218e+02	2.927764e-06
7.319008e+02	2.960561e-06
7.368797e+02	2.993694e-06
7.418586e+02	3.027168e-06
7.468375e+02	3.060984e-06
7.518164e+02	3.095147e-06
7.567953e+02	3.129659e-06
7.617743e+02	3.164523e-06
7.667532e+02	3.199743e-06
7.717321e+02	3.235322e-06
7.767110e+02	3.271263e-06
7.816899e+02	3.307570e-06
7.866688e+02	3.344245e-06
7.916478e+02	3.381293e-06
7.966267e+02	3.418716e-06
8.016056e+02	3.456518e-06
8.065845e+02	3.494702e-06
8.115634e+02	3.533272e-06
8.165423e+02	3.572231e-06
8.215213e+02	3.611582e-06
8.265002e+02	3.651330e-06
8.314791e+02	3.691478e-06
8.364580e+02	3.732029e-06
8.414369e+02	3.772986e-06
8.464158e+02	3.814355e-06
8.513948e+02	3.856137e-06
8.563737e+02	3.898337e-06
8.613526e+02	3.940959e-06
8.663315e+02	3.984006e-06
8.713104e+02	4.027483e-06
8.762893e+02	4.071392e-06
8.812683e+02	4.115737e-06
8.862472e+02	4.160523e-06
8.912261e+02	4.205754e-06
8.962050e+02	4.251433e-06
9.011839e+02	4.297564e-06
9.061628e+02	4.344151e-06
9.111418e+02	4.391198e-06
9.161207e+02	4.438710e-06
9.210996e+02	4.486689e-06
9.260785e+02	4.535141e-06
9.310574e+02	4.584070e-06
9.360363e+02	4.633478e-06
9.410153e+02	4.683372e-06
9.459942e+02	4.733754e-06
9.509731e+02	4.784630e-06
9.559520e+02	4.836003e-06
