# # p(y | x = 8.200000e-02)
# # y_val	p(y|x)
0.000000e+00	1.073579e-05
4.978917e+00	1.083683e-05
9.957833e+00	1.093872e-05
1.493675e+01	1.104147e-05
1.991567e+01	1.114507e-05
2.489458e+01	1.124954e-05
2.987350e+01	1.135489e-05
3.485242e+01	1.146112e-05
3.983133e+01	1.156823e-05
4.481025e+01	1.167624e-05
4.978917e+01	1.178515e-05
5.476808e+01	1.189496e-05
5.974700e+01	1.200568e-05
6.472592e+01	1.211732e-05
6.970483e+01	1.222989e-05
7.468375e+01	1.234338e-05
7.966267e+01	1.245782e-05
8.464158e+01	1.257320e-05
8.962050e+01	1.268953e-05
9.459942e+01	1.280681e-05
9.957833e+01	1.292506e-05
1.045573e+02	1.304429e-05
1.095362e+02	1.316449e-05
1.145151e+02	1.328567e-05
1.194940e+02	1.340784e-05
1.244729e+02	1.353101e-05
1.294518e+02	1.365519e-05
1.344308e+02	1.378038e-05
1.394097e+02	1.390659e-05
1.443886e+02	1.403382e-05
1.493675e+02	1.416209e-05
1.543464e+02	1.429139e-05
1.593253e+02	1.442174e-05
1.643043e+02	1.455315e-05
1.692832e+02	1.468561e-05
1.742621e+02	1.481915e-05
1.792410e+02	1.495376e-05
1.842199e+02	1.508945e-05
1.891988e+02	1.522623e-05
1.941778e+02	1.536411e-05
1.991567e+02	1.550310e-05
2.041356e+02	1.564320e-05
2.091145e+02	1.578441e-05
2.140934e+02	1.592675e-05
2.190723e+02	1.607023e-05
2.240513e+02	1.621485e-05
2.290302e+02	1.636062e-05
2.340091e+02	1.650755e-05
2.389880e+02	1.665564e-05
2.439669e+02	1.680490e-05
2.489458e+02	1.695534e-05
2.539248e+02	1.710698e-05
2.589037e+02	1.725980e-05
2.638826e+02	1.741383e-05
2.688615e+02	1.756908e-05
2.738404e+02	1.772554e-05
2.788193e+02	1.788323e-05
2.837983e+02	1.804215e-05
2.887772e+02	1.820232e-05
2.937561e+02	1.836374e-05
2.987350e+02	1.852642e-05
3.037139e+02	1.869037e-05
3.086928e+02	1.885559e-05
3.136718e+02	1.902209e-05
3.186507e+02	1.918989e-05
3.236296e+02	1.935899e-05
3.286085e+02	1.952940e-05
3.335874e+02	1.970112e-05
3.385663e+02	1.987417e-05
3.435453e+02	2.004856e-05
3.485242e+02	2.022428e-05
3.535031e+02	2.040136e-05
3.584820e+02	2.057980e-05
3.634609e+02	2.075960e-05
3.684398e+02	2.094078e-05
3.734188e+02	2.112335e-05
3.783977e+02	2.130731e-05
3.833766e+02	2.149267e-05
3.883555e+02	2.167945e-05
3.933344e+02	2.186764e-05
3.983133e+02	2.205726e-05
4.032923e+02	2.224832e-05
4.082712e+02	2.244083e-05
4.132501e+02	2.263479e-05
4.182290e+02	2.283022e-05
4.232079e+02	2.302712e-05
4.281868e+02	2.322551e-05
4.331658e+02	2.342538e-05
4.381447e+02	2.362676e-05
4.431236e+02	2.382964e-05
4.481025e+02	2.403405e-05
4.530814e+02	2.423998e-05
4.580603e+02	2.444745e-05
4.630393e+02	2.465647e-05
4.680182e+02	2.486704e-05
4.729971e+02	2.507918e-05
4.779760e+02	2.529289e-05
4.829549e+02	2.550819e-05
4.879338e+02	2.572508e-05
4.929128e+02	2.594358e-05
4.978917e+02	2.616369e-05
5.028706e+02	2.638542e-05
5.078495e+02	2.660878e-05
5.128284e+02	2.683379e-05
5.178073e+02	2.706044e-05
5.227863e+02	2.728876e-05
5.277652e+02	2.751875e-05
5.327441e+02	2.775042e-05
5.377230e+02	2.798378e-05
5.427019e+02	2.821883e-05
5.476808e+02	2.845560e-05
5.526598e+02	2.869409e-05
5.576387e+02	2.893431e-05
5.626176e+02	2.917628e-05
5.675965e+02	2.941999e-05
5.725754e+02	2.966546e-05
5.775543e+02	2.991270e-05
5.825333e+02	3.016172e-05
5.875122e+02	3.041253e-05
5.924911e+02	3.066515e-05
5.974700e+02	3.091957e-05
6.024489e+02	3.117582e-05
6.074278e+02	3.143390e-05
6.124068e+02	3.169382e-05
6.173857e+02	3.195559e-05
6.223646e+02	3.221922e-05
6.273435e+02	3.248473e-05
6.323224e+02	3.275213e-05
6.373013e+02	3.302141e-05
6.422803e+02	3.329261e-05
6.472592e+02	3.356571e-05
6.522381e+02	3.384075e-05
6.572170e+02	3.411772e-05
6.621959e+02	3.439664e-05
6.671748e+02	3.467752e-05
6.721538e+02	3.496036e-05
6.771327e+02	3.524519e-05
6.821116e+02	3.553200e-05
6.870905e+02	3.582082e-05
6.920694e+02	3.611165e-05
6.970483e+02	3.640451e-05
7.020273e+02	3.669939e-05
7.070062e+02	3.699633e-05
7.119851e+02	3.729531e-05
7.169640e+02	3.759637e-05
7.219429e+02	3.789951e-05
7.269218e+02	3.820473e-05
7.319008e+02	3.851205e-05
7.368797e+02	3.882149e-05
7.418586e+02	3.913305e-05
7.468375e+02	3.944674e-05
7.518164e+02	3.976258e-05
7.567953e+02	4.008058e-05
7.617743e+02	4.040074e-05
7.667532e+02	4.072309e-05
7.717321e+02	4.104762e-05
7.767110e+02	4.137436e-05
7.816899e+02	4.170330e-05
7.866688e+02	4.203448e-05
7.916478e+02	4.236789e-05
7.966267e+02	4.270355e-05
8.016056e+02	4.304147e-05
8.065845e+02	4.338166e-05
8.115634e+02	4.372413e-05
8.165423e+02	4.406890e-05
8.215213e+02	4.441597e-05
8.265002e+02	4.476537e-05
8.314791e+02	4.511709e-05
8.364580e+02	4.547115e-05
8.414369e+02	4.582756e-05
8.464158e+02	4.618635e-05
8.513948e+02	4.654750e-05
8.563737e+02	4.691105e-05
8.613526e+02	4.727699e-05
8.663315e+02	4.764535e-05
8.713104e+02	4.801614e-05
8.762893e+02	4.838935e-05
8.812683e+02	4.876502e-05
8.862472e+02	4.914315e-05
8.912261e+02	4.952375e-05
8.962050e+02	4.990683e-05
9.011839e+02	5.029241e-05
9.061628e+02	5.068050e-05
9.111418e+02	5.107111e-05
9.161207e+02	5.146425e-05
9.210996e+02	5.185994e-05
9.260785e+02	5.225818e-05
9.310574e+02	5.265900e-05
9.360363e+02	5.306239e-05
9.410153e+02	5.346838e-05
9.459942e+02	5.387698e-05
9.509731e+02	5.428819e-05
9.559520e+02	5.470203e-05
9.609309e+02	5.511852e-05
9.659098e+02	5.553766e-05
9.708888e+02	5.595947e-05
9.758677e+02	5.638396e-05
9.808466e+02	5.681114e-05
9.858255e+02	5.724103e-05
9.908044e+02	5.767364e-05
9.957833e+02	5.810897e-05
1.000762e+03	5.854705e-05
1.005741e+03	5.898788e-05
1.010720e+03	5.943148e-05
1.015699e+03	5.987786e-05
1.020678e+03	6.032704e-05
1.025657e+03	6.077902e-05
1.030636e+03	6.123381e-05
1.035615e+03	6.169144e-05
1.040594e+03	6.215191e-05
1.045573e+03	6.261523e-05
1.050551e+03	6.308142e-05
1.055530e+03	6.355050e-05
1.060509e+03	6.402247e-05
1.065488e+03	6.449734e-05
1.070467e+03	6.497513e-05
1.075446e+03	6.545586e-05
1.080425e+03	6.593953e-05
1.085404e+03	6.642615e-05
1.090383e+03	6.691575e-05
1.095362e+03	6.740833e-05
1.100341e+03	6.790391e-05
1.105320e+03	6.840249e-05
1.110298e+03	6.890409e-05
1.115277e+03	6.940873e-05
1.120256e+03	6.991642e-05
1.125235e+03	7.042716e-05
1.130214e+03	7.094098e-05
1.135193e+03	7.145788e-05
1.140172e+03	7.197788e-05
1.145151e+03	7.250099e-05
1.150130e+03	7.302723e-05
1.155109e+03	7.355660e-05
1.160088e+03	7.408912e-05
1.165067e+03	7.462480e-05
1.170045e+03	7.516366e-05
1.175024e+03	7.570571e-05
1.180003e+03	7.625096e-05
1.184982e+03	7.679942e-05
1.189961e+03	7.735111e-05
1.194940e+03	7.790604e-05
1.199919e+03	7.846422e-05
1.204898e+03	7.902567e-05
1.209877e+03	7.959039e-05
1.214856e+03	8.015841e-05
