# x_val	y_val	p(x,y)
0.000000e+00	1.343615e+02	3.103424e-10
0.000000e+00	1.373398e+02	3.177540e-10
0.000000e+00	1.403181e+02	3.253349e-10
0.000000e+00	1.432964e+02	3.330889e-10
0.000000e+00	1.462747e+02	3.410198e-10
0.000000e+00	1.492529e+02	3.491313e-10
0.000000e+00	1.522312e+02	3.574273e-10
0.000000e+00	1.552095e+02	3.659119e-10
0.000000e+00	1.581878e+02	3.745891e-10
0.000000e+00	1.611661e+02	3.834631e-10
0.000000e+00	1.641444e+02	3.925382e-10
0.000000e+00	1.671227e+02	4.018186e-10
0.000000e+00	1.701010e+02	4.113087e-10
0.000000e+00	1.730793e+02	4.210132e-10
0.000000e+00	1.760576e+02	4.309365e-10
0.000000e+00	1.790358e+02	4.410833e-10
0.000000e+00	1.820141e+02	4.514585e-10
0.000000e+00	1.849924e+02	4.620670e-10
0.000000e+00	1.879707e+02	4.729136e-10
0.000000e+00	1.909490e+02	4.840035e-10
0.000000e+00	1.939273e+02	4.953418e-10
0.000000e+00	1.969056e+02	5.069339e-10
0.000000e+00	1.998839e+02	5.187851e-10
0.000000e+00	2.028622e+02	5.309009e-10
0.000000e+00	2.058404e+02	5.432869e-10
0.000000e+00	2.088187e+02	5.559489e-10
0.000000e+00	2.117970e+02	5.688927e-10
0.000000e+00	2.147753e+02	5.821242e-10
0.000000e+00	2.177536e+02	5.956494e-10
0.000000e+00	2.207319e+02	6.094746e-10
0.000000e+00	2.237102e+02	6.236061e-10
0.000000e+00	2.266885e+02	6.380503e-10
0.000000e+00	2.296668e+02	6.528138e-10
0.000000e+00	2.326450e+02	6.679032e-10
0.000000e+00	2.356233e+02	6.833254e-10
0.000000e+00	2.386016e+02	6.990874e-10
0.000000e+00	2.415799e+02	7.151961e-10
0.000000e+00	2.445582e+02	7.316589e-10
0.000000e+00	2.475365e+02	7.484830e-10
0.000000e+00	2.505148e+02	7.656762e-10
0.000000e+00	2.534931e+02	7.832458e-10
0.000000e+00	2.564714e+02	8.011999e-10
0.000000e+00	2.594496e+02	8.195463e-10
0.000000e+00	2.624279e+02	8.382932e-10
0.000000e+00	2.654062e+02	8.574489e-10
0.000000e+00	2.683845e+02	8.770217e-10
0.000000e+00	2.713628e+02	8.970202e-10
0.000000e+00	2.743411e+02	9.174533e-10
0.000000e+00	2.773194e+02	9.383299e-10
0.000000e+00	2.802977e+02	9.596590e-10
0.000000e+00	2.832760e+02	9.814499e-10
0.000000e+00	2.862542e+02	1.003712e-09
0.000000e+00	2.892325e+02	1.026455e-09
0.000000e+00	2.922108e+02	1.049689e-09
0.000000e+00	2.951891e+02	1.073424e-09
0.000000e+00	2.981674e+02	1.097669e-09
0.000000e+00	3.011457e+02	1.122436e-09
0.000000e+00	3.041240e+02	1.147735e-09
0.000000e+00	3.071023e+02	1.173577e-09
0.000000e+00	3.100806e+02	1.199972e-09
0.000000e+00	3.130588e+02	1.226932e-09
0.000000e+00	3.160371e+02	1.254468e-09
0.000000e+00	3.190154e+02	1.282593e-09
0.000000e+00	3.219937e+02	1.311317e-09
0.000000e+00	3.249720e+02	1.340653e-09
0.000000e+00	3.279503e+02	1.370614e-09
0.000000e+00	3.309286e+02	1.401211e-09
0.000000e+00	3.339069e+02	1.432457e-09
0.000000e+00	3.368852e+02	1.464366e-09
0.000000e+00	3.398634e+02	1.496951e-09
0.000000e+00	3.428417e+02	1.530224e-09
0.000000e+00	3.458200e+02	1.564201e-09
0.000000e+00	3.487983e+02	1.598895e-09
0.000000e+00	3.517766e+02	1.634320e-09
0.000000e+00	3.547549e+02	1.670491e-09
0.000000e+00	3.577332e+02	1.707422e-09
0.000000e+00	3.607115e+02	1.745129e-09
0.000000e+00	3.636898e+02	1.783626e-09
0.000000e+00	3.666681e+02	1.822931e-09
0.000000e+00	3.696463e+02	1.863057e-09
0.000000e+00	3.726246e+02	1.904023e-09
0.000000e+00	3.756029e+02	1.945843e-09
0.000000e+00	3.785812e+02	1.988536e-09
0.000000e+00	3.815595e+02	2.032117e-09
0.000000e+00	3.845378e+02	2.076605e-09
0.000000e+00	3.875161e+02	2.122018e-09
0.000000e+00	3.904944e+02	2.168372e-09
0.000000e+00	3.934727e+02	2.215687e-09
0.000000e+00	3.964509e+02	2.263982e-09
0.000000e+00	3.994292e+02	2.313275e-09
0.000000e+00	4.024075e+02	2.363586e-09
0.000000e+00	4.053858e+02	2.414935e-09
0.000000e+00	4.083641e+02	2.467341e-09
0.000000e+00	4.113424e+02	2.520825e-09
0.000000e+00	4.143207e+02	2.575409e-09
0.000000e+00	4.172990e+02	2.631113e-09
0.000000e+00	4.202773e+02	2.687958e-09
0.000000e+00	4.232555e+02	2.745968e-09
0.000000e+00	4.262338e+02	2.805163e-09
0.000000e+00	4.292121e+02	2.865568e-09
0.000000e+00	4.321904e+02	2.927204e-09
0.000000e+00	4.351687e+02	2.990097e-09
0.000000e+00	4.381470e+02	3.054269e-09
0.000000e+00	4.411253e+02	3.119745e-09
0.000000e+00	4.441036e+02	3.186550e-09
0.000000e+00	4.470819e+02	3.254709e-09
0.000000e+00	4.500601e+02	3.324249e-09
0.000000e+00	4.530384e+02	3.395194e-09
0.000000e+00	4.560167e+02	3.467573e-09
0.000000e+00	4.589950e+02	3.541411e-09
0.000000e+00	4.619733e+02	3.616737e-09
0.000000e+00	4.649516e+02	3.693579e-09
0.000000e+00	4.679299e+02	3.771965e-09
0.000000e+00	4.709082e+02	3.851924e-09
0.000000e+00	4.738865e+02	3.933486e-09
0.000000e+00	4.768647e+02	4.016681e-09
0.000000e+00	4.798430e+02	4.101539e-09
0.000000e+00	4.828213e+02	4.188092e-09
0.000000e+00	4.857996e+02	4.276371e-09
0.000000e+00	4.887779e+02	4.366409e-09
0.000000e+00	4.917562e+02	4.458238e-09
0.000000e+00	4.947345e+02	4.551891e-09
0.000000e+00	4.977128e+02	4.647403e-09
0.000000e+00	5.006911e+02	4.744808e-09
0.000000e+00	5.036693e+02	4.844141e-09
0.000000e+00	5.066476e+02	4.945437e-09
0.000000e+00	5.096259e+02	5.048734e-09
0.000000e+00	5.126042e+02	5.154067e-09
0.000000e+00	5.155825e+02	5.261474e-09
0.000000e+00	5.185608e+02	5.370994e-09
0.000000e+00	5.215391e+02	5.482666e-09
0.000000e+00	5.245174e+02	5.596528e-09
0.000000e+00	5.274957e+02	5.712620e-09
0.000000e+00	5.304739e+02	5.830984e-09
0.000000e+00	5.334522e+02	5.951662e-09
0.000000e+00	5.364305e+02	6.074694e-09
0.000000e+00	5.394088e+02	6.200125e-09
0.000000e+00	5.423871e+02	6.327997e-09
0.000000e+00	5.453654e+02	6.458355e-09
0.000000e+00	5.483437e+02	6.591243e-09
0.000000e+00	5.513220e+02	6.726709e-09
0.000000e+00	5.543003e+02	6.864798e-09
0.000000e+00	5.572786e+02	7.005557e-09
0.000000e+00	5.602568e+02	7.149036e-09
0.000000e+00	5.632351e+02	7.295281e-09
0.000000e+00	5.662134e+02	7.444344e-09
0.000000e+00	5.691917e+02	7.596275e-09
0.000000e+00	5.721700e+02	7.751125e-09
0.000000e+00	5.751483e+02	7.908946e-09
0.000000e+00	5.781266e+02	8.069792e-09
0.000000e+00	5.811049e+02	8.233715e-09
0.000000e+00	5.840832e+02	8.400772e-09
0.000000e+00	5.870614e+02	8.571017e-09
0.000000e+00	5.900397e+02	8.744507e-09
0.000000e+00	5.930180e+02	8.921300e-09
0.000000e+00	5.959963e+02	9.101455e-09
0.000000e+00	5.989746e+02	9.285029e-09
0.000000e+00	6.019529e+02	9.472084e-09
0.000000e+00	6.049312e+02	9.662681e-09
0.000000e+00	6.079095e+02	9.856883e-09
0.000000e+00	6.108878e+02	1.005475e-08
0.000000e+00	6.138660e+02	1.025635e-08
0.000000e+00	6.168443e+02	1.046175e-08
0.000000e+00	6.198226e+02	1.067101e-08
0.000000e+00	6.228009e+02	1.088420e-08
0.000000e+00	6.257792e+02	1.110139e-08
0.000000e+00	6.287575e+02	1.132265e-08
0.000000e+00	6.317358e+02	1.154805e-08
0.000000e+00	6.347141e+02	1.177766e-08
0.000000e+00	6.376924e+02	1.201155e-08
0.000000e+00	6.406706e+02	1.224981e-08
0.000000e+00	6.436489e+02	1.249249e-08
0.000000e+00	6.466272e+02	1.273968e-08
0.000000e+00	6.496055e+02	1.299146e-08
0.000000e+00	6.525838e+02	1.324791e-08
0.000000e+00	6.555621e+02	1.350910e-08
0.000000e+00	6.585404e+02	1.377512e-08
0.000000e+00	6.615187e+02	1.404605e-08
0.000000e+00	6.644970e+02	1.432197e-08
0.000000e+00	6.674752e+02	1.460297e-08
0.000000e+00	6.704535e+02	1.488913e-08
0.000000e+00	6.734318e+02	1.518055e-08
0.000000e+00	6.764101e+02	1.547730e-08
0.000000e+00	6.793884e+02	1.577949e-08
0.000000e+00	6.823667e+02	1.608720e-08
0.000000e+00	6.853450e+02	1.640053e-08
0.000000e+00	6.883233e+02	1.671956e-08
0.000000e+00	6.913016e+02	1.704441e-08
0.000000e+00	6.942798e+02	1.737516e-08
0.000000e+00	6.972581e+02	1.771191e-08
0.000000e+00	7.002364e+02	1.805476e-08
0.000000e+00	7.032147e+02	1.840382e-08
0.000000e+00	7.061930e+02	1.875919e-08
0.000000e+00	7.091713e+02	1.912098e-08
0.000000e+00	7.121496e+02	1.948928e-08
0.000000e+00	7.151279e+02	1.986421e-08
0.000000e+00	7.181062e+02	2.024589e-08
0.000000e+00	7.210845e+02	2.063441e-08
0.000000e+00	7.240627e+02	2.102989e-08
0.000000e+00	7.270410e+02	2.143245e-08
0.000000e+00	7.300193e+02	2.184221e-08
0.000000e+00	7.329976e+02	2.225928e-08
0.000000e+00	7.359759e+02	2.268378e-08
0.000000e+00	7.389542e+02	2.311583e-08
0.000000e+00	7.419325e+02	2.355556e-08
0.000000e+00	7.449108e+02	2.400310e-08
0.000000e+00	7.478891e+02	2.445856e-08
