0.1000000E-03   0.7165906E+00   0.7265906E+00   0.2885453E+01
0.2000000E-03   0.3559330E+00   0.3659330E+00   0.1442823E+01
0.3000000E-03   0.2357247E+00   0.2457247E+00   0.9619899E+00
0.4000000E-03   0.1756289E+00   0.1856289E+00   0.7216069E+00
0.5000000E-03   0.1395783E+00   0.1495783E+00   0.5774043E+00
0.6000000E-03   0.1155504E+00   0.1255504E+00   0.4812925E+00
0.7000000E-03   0.9839265E-01   0.1083926E+00   0.4126615E+00
0.8000000E-03   0.8552885E-01   0.9552885E-01   0.3612063E+00
0.9000000E-03   0.7552776E-01   0.8552776E-01   0.3212019E+00
0.1000000E-02   0.6753063E-01   0.7753063E-01   0.2892134E+00
0.2000000E-02   0.3165401E-01   0.4165401E-01   0.1457069E+00
0.3000000E-02   0.1984446E-01   0.2984446E-01   0.9846876E-01
0.4000000E-02   0.1406635E-01   0.2406635E-01   0.7535631E-01
0.5000000E-02   0.1070880E-01   0.2070880E-01   0.6192612E-01
0.6000000E-02   0.8563546E-02   0.1856354E-01   0.5334509E-01
0.7000000E-02   0.7108363E-02   0.1710836E-01   0.4752436E-01
0.8000000E-02   0.6078933E-02   0.1607893E-01   0.4340664E-01
0.8999999E-02   0.5326666E-02   0.1532666E-01   0.4039757E-01
0.1000000E-01   0.4761902E-02   0.1476190E-01   0.3813851E-01
0.2000000E-01   0.2738814E-02   0.1273881E-01   0.3004616E-01
0.3000000E-01   0.2269191E-02   0.1226919E-01   0.2816767E-01
0.4000000E-01   0.2069705E-02   0.1206970E-01   0.2736973E-01
0.5000000E-01   0.1960332E-02   0.1196033E-01   0.2693223E-01
0.6000000E-01   0.1891461E-02   0.1189146E-01   0.2665675E-01
0.7000000E-01   0.1844165E-02   0.1184416E-01   0.2646757E-01
0.8000000E-01   0.1809699E-02   0.1180969E-01   0.2632970E-01
0.8999999E-01   0.1783475E-02   0.1178347E-01   0.2622481E-01
0.1000000E+00   0.1762856E-02   0.1176285E-01   0.2614233E-01
0.2000000E+00   0.1673902E-02   0.1167390E-01   0.2578651E-01
0.3000000E+00   0.1645595E-02   0.1164559E-01   0.2567329E-01
0.4000000E+00   0.1631686E-02   0.1163168E-01   0.2561765E-01
0.5000000E+00   0.1623417E-02   0.1162341E-01   0.2558457E-01
0.6000000E+00   0.1617936E-02   0.1161793E-01   0.2556265E-01
0.7000000E+00   0.1614037E-02   0.1161403E-01   0.2554705E-01
0.8000000E+00   0.1611121E-02   0.1161112E-01   0.2553539E-01
0.9000000E+00   0.1608857E-02   0.1160885E-01   0.2552634E-01
0.1000000E+01   0.1607050E-02   0.1160705E-01   0.2551911E-01
