0.8521455E+02   0.3619884E+01
0.6045744E+02   0.3119932E+01
0.4952959E+02   0.2827532E+01
0.4303933E+02   0.2620127E+01
0.3862694E+02   0.2459312E+01
0.3538254E+02   0.2327978E+01
0.3287113E+02   0.2217000E+01
0.3085512E+02   0.2120932E+01
0.2919236E+02   0.2036261E+01
0.2779191E+02   0.1960588E+01
0.2038000E+02   0.1466056E+01
0.1729269E+02   0.1183390E+01
0.1559093E+02   0.9904213E+00
0.1453662E+02   0.8488311E+00
0.1384261E+02   0.7412349E+00
0.1336897E+02   0.6578907E+00
0.1303750E+02   0.5925150E+00
0.1280074E+02   0.5406914E+00
0.1262843E+02   0.4991814E+00
0.1210046E+02   0.3271475E+00
0.1201962E+02   0.2805773E+00
0.1199439E+02   0.2598477E+00
0.1198348E+02   0.2482241E+00
0.1197780E+02   0.2408076E+00
0.1197448E+02   0.2356699E+00
0.1197237E+02   0.2319028E+00
0.1197095E+02   0.2290233E+00
0.1196995E+02   0.2267511E+00
0.1196684E+02   0.2168655E+00
0.1196629E+02   0.2136912E+00
0.1196610E+02   0.2121262E+00
0.1196601E+02   0.2111943E+00
0.1196596E+02   0.2105759E+00
0.1196593E+02   0.2101356E+00
0.1196592E+02   0.2098062E+00
0.1196590E+02   0.2095504E+00
0.1196589E+02   0.2093461E+00
