0.1658788E+00   0.1027173E-01
0.4216549E+00   0.6331815E-02
0.6777559E+00   0.5510073E-02
0.9339040E+00   0.5157615E-02
0.1190067E+01   0.4962058E-02
0.1446238E+01   0.4837775E-02
0.1702412E+01   0.4751827E-02
0.1958589E+01   0.4688854E-02
0.2214767E+01   0.4640733E-02
0.2470946E+01   0.4602766E-02
0.5032756E+01   0.4437530E-02
0.7594577E+01   0.4384418E-02
0.1015640E+02   0.4358217E-02
0.1271822E+02   0.4342609E-02
0.1528005E+02   0.4332251E-02
0.1784187E+02   0.4324874E-02
0.2040370E+02   0.4319354E-02
0.2296552E+02   0.4315068E-02
0.2552735E+02   0.4311643E-02
0.5114561E+02   0.4296284E-02
0.7676387E+02   0.4291182E-02
0.1023821E+03   0.4288635E-02
0.1280003E+03   0.4287108E-02
0.1536186E+03   0.4286090E-02
0.1792369E+03   0.4285363E-02
0.2048551E+03   0.4284818E-02
0.2304734E+03   0.4284394E-02
0.2560917E+03   0.4284055E-02
0.5122743E+03   0.4282530E-02
0.7684558E+03   0.4282022E-02
0.1024637E+04   0.4281768E-02
0.1280825E+04   0.4281616E-02
0.1537005E+04   0.4281514E-02
0.1793184E+04   0.4281442E-02
0.2049345E+04   0.4281387E-02
0.2305570E+04   0.4281345E-02
0.2561711E+04   0.4281311E-02
0.5123362E+04   0.4281159E-02
0.7685227E+04   0.4281108E-02
0.1024672E+05   0.4281082E-02
0.1280657E+05   0.4281067E-02
0.1537375E+05   0.4281057E-02
0.1793027E+05   0.4281050E-02
0.2048562E+05   0.4281044E-02
0.2303589E+05   0.4281040E-02
0.2561314E+05   0.4281037E-02
