0.1000000E-03   0.3001308E+02   0.1311525E+00   0.4077319E+00
0.2000000E-03   0.7478834E+01   0.2768954E-01   0.1940578E+00
0.3000000E-03   0.4093658E+01   0.1846480E-01   0.1589742E+00
0.4000000E-03   0.2812840E+01   0.1545056E-01   0.1455722E+00
0.5000000E-03   0.2141763E+01   0.1397684E-01   0.1385262E+00
0.6000000E-03   0.1729028E+01   0.1310667E-01   0.1341850E+00
0.7000000E-03   0.1449603E+01   0.1253325E-01   0.1312429E+00
0.8000000E-03   0.1247902E+01   0.1212721E-01   0.1291176E+00
0.9000000E-03   0.1095462E+01   0.1182474E-01   0.1275105E+00
0.1000000E-02   0.9762054E+00   0.1159074E-01   0.1262528E+00
0.2000000E-02   0.4673570E+00   0.1061836E-01   0.1208816E+00
0.3000000E-02   0.3072125E+00   0.1032108E-01   0.1191897E+00
0.4000000E-02   0.2288081E+00   0.1017706E-01   0.1183610E+00
0.5000000E-02   0.1822862E+00   0.1009208E-01   0.1178693E+00
0.6000000E-02   0.1514857E+00   0.1003601E-01   0.1175437E+00
0.7000000E-02   0.1295892E+00   0.9996251E-02   0.1173122E+00
0.8000000E-02   0.1132233E+00   0.9966582E-02   0.1171392E+00
0.8999999E-02   0.1005276E+00   0.9943596E-02   0.1170050E+00
0.1000000E-01   0.9039205E-01   0.9925264E-02   0.1168978E+00
0.2000000E-01   0.4501051E-01   0.9843389E-02   0.1164180E+00
0.3000000E-01   0.2996600E-01   0.9816321E-02   0.1162589E+00
0.4000000E-01   0.2245916E-01   0.9802829E-02   0.1161795E+00
0.5000000E-01   0.1795997E-01   0.9794747E-02   0.1161319E+00
0.6000000E-01   0.1496255E-01   0.9789364E-02   0.1161002E+00
0.7000000E-01   0.1282254E-01   0.9785522E-02   0.1160776E+00
0.8000000E-01   0.1121809E-01   0.9782642E-02   0.1160606E+00
0.8999999E-01   0.9970502E-02   0.9780403E-02   0.1160474E+00
0.1000000E+00   0.8972636E-02   0.9778612E-02   0.1160369E+00
0.2000000E+00   0.4484482E-02   0.9770560E-02   0.1159894E+00
0.3000000E+00   0.2989247E-02   0.9767878E-02   0.1159736E+00
0.4000000E+00   0.2241783E-02   0.9766537E-02   0.1159657E+00
0.5000000E+00   0.1793353E-02   0.9765733E-02   0.1159609E+00
0.6000000E+00   0.1494419E-02   0.9765197E-02   0.1159578E+00
0.7000000E+00   0.1280906E-02   0.9764814E-02   0.1159555E+00
0.8000000E+00   0.1120779E-02   0.9764527E-02   0.1159538E+00
0.9000000E+00   0.9962332E-03   0.9764304E-02   0.1159525E+00
0.1000000E+01   0.8966039E-03   0.9764125E-02   0.1159515E+00
0.2000000E+01   0.4482837E-03   0.9763321E-02   0.1159467E+00
0.3000000E+01   0.2988517E-03   0.9763053E-02   0.1159451E+00
0.4000000E+01   0.2241276E-03   0.9762919E-02   0.1159443E+00
0.5000000E+01   0.1793110E-03   0.9762839E-02   0.1159439E+00
0.6000000E+01   0.1494197E-03   0.9762785E-02   0.1159436E+00
0.7000000E+01   0.1280767E-03   0.9762747E-02   0.1159433E+00
0.8000000E+01   0.1120638E-03   0.9762718E-02   0.1159432E+00
0.9000000E+01   0.9960305E-04   0.9762696E-02   0.1159430E+00
0.1000000E+02   0.8964538E-04   0.9762678E-02   0.1159429E+00
