0.7016002E-01   0.3644193E-01
0.2256054E+00   0.1367622E-01
0.3831927E+00   0.1063288E-01
0.5409750E+00   0.9474187E-02
0.6988132E+00   0.8866738E-02
0.8566747E+00   0.8493379E-02
0.1014548E+01   0.8240831E-02
0.1172428E+01   0.8058685E-02
0.1330313E+01   0.7921129E-02
0.1488201E+01   0.7813587E-02
0.3067139E+01   0.7355585E-02
0.4646106E+01   0.7211788E-02
0.6225081E+01   0.7141457E-02
0.7804059E+01   0.7099748E-02
0.9383038E+01   0.7072144E-02
0.1096201E+02   0.7052525E-02
0.1254099E+02   0.7037864E-02
0.1411997E+02   0.7026493E-02
0.1569896E+02   0.7017415E-02
0.3148877E+02   0.6976782E-02
0.4727858E+02   0.6963315E-02
0.6306840E+02   0.6956597E-02
0.7885822E+02   0.6952570E-02
0.9464803E+02   0.6949888E-02
0.1104378E+03   0.6947972E-02
0.1262276E+03   0.6946537E-02
0.1420174E+03   0.6945420E-02
0.1578072E+03   0.6944527E-02
0.3157054E+03   0.6940511E-02
0.4736038E+03   0.6939173E-02
0.6315013E+03   0.6938504E-02
0.7893997E+03   0.6938103E-02
0.9472992E+03   0.6937836E-02
0.1105195E+04   0.6937645E-02
0.1263091E+04   0.6937501E-02
0.1420991E+04   0.6937390E-02
0.1578894E+04   0.6937301E-02
0.3157903E+04   0.6936900E-02
0.4736983E+04   0.6936766E-02
0.6316264E+04   0.6936699E-02
0.7894972E+04   0.6936659E-02
0.9473193E+04   0.6936632E-02
0.1105296E+05   0.6936613E-02
0.1263069E+05   0.6936599E-02
0.1421153E+05   0.6936588E-02
0.1577921E+05   0.6936579E-02
