0.1000000E-03   0.9333956E-01   0.1538564E-01   0.1371654E-01
0.2000000E-03   0.2819851E-01   0.1242100E-01   0.1297538E-01
0.3000000E-03   0.2093908E-01   0.1209062E-01   0.1289278E-01
0.4000000E-03   0.1830411E-01   0.1197070E-01   0.1286280E-01
0.5000000E-03   0.1695262E-01   0.1190919E-01   0.1284742E-01
0.6000000E-03   0.1613238E-01   0.1187186E-01   0.1283809E-01
0.7000000E-03   0.1558212E-01   0.1184682E-01   0.1283183E-01
0.8000000E-03   0.1518756E-01   0.1182886E-01   0.1282734E-01
0.9000000E-03   0.1489089E-01   0.1181536E-01   0.1282397E-01
0.1000000E-02   0.1465972E-01   0.1180484E-01   0.1282134E-01
0.2000000E-02   0.1368292E-01   0.1176038E-01   0.1281022E-01
0.3000000E-02   0.1337883E-01   0.1174654E-01   0.1280676E-01
0.4000000E-02   0.1323056E-01   0.1173980E-01   0.1280507E-01
0.5000000E-02   0.1314277E-01   0.1173580E-01   0.1280408E-01
0.6000000E-02   0.1308473E-01   0.1173316E-01   0.1280342E-01
0.7000000E-02   0.1304350E-01   0.1173128E-01   0.1280295E-01
0.8000000E-02   0.1301271E-01   0.1172988E-01   0.1280260E-01
0.8999999E-02   0.1298884E-01   0.1172879E-01   0.1280232E-01
0.1000000E-01   0.1296979E-01   0.1172793E-01   0.1280211E-01
0.2000000E-01   0.1288456E-01   0.1172405E-01   0.1280114E-01
0.3000000E-01   0.1285634E-01   0.1172276E-01   0.1280082E-01
0.4000000E-01   0.1284227E-01   0.1172212E-01   0.1280066E-01
0.5000000E-01   0.1283383E-01   0.1172174E-01   0.1280056E-01
0.6000000E-01   0.1282821E-01   0.1172148E-01   0.1280050E-01
0.7000000E-01   0.1282420E-01   0.1172130E-01   0.1280045E-01
0.8000000E-01   0.1282120E-01   0.1172116E-01   0.1280042E-01
0.8999999E-01   0.1281886E-01   0.1172106E-01   0.1280039E-01
0.1000000E+00   0.1281699E-01   0.1172097E-01   0.1280037E-01
0.2000000E+00   0.1280858E-01   0.1172059E-01   0.1280027E-01
0.3000000E+00   0.1280578E-01   0.1172046E-01   0.1280024E-01
0.4000000E+00   0.1280438E-01   0.1172040E-01   0.1280023E-01
0.5000000E+00   0.1280354E-01   0.1172036E-01   0.1280022E-01
0.6000000E+00   0.1280298E-01   0.1172034E-01   0.1280021E-01
0.7000000E+00   0.1280258E-01   0.1172032E-01   0.1280021E-01
0.8000000E+00   0.1280228E-01   0.1172030E-01   0.1280020E-01
0.9000000E+00   0.1280204E-01   0.1172029E-01   0.1280020E-01
0.1000000E+01   0.1280186E-01   0.1172028E-01   0.1280020E-01
0.2000000E+01   0.1280102E-01   0.1172025E-01   0.1280019E-01
0.3000000E+01   0.1280074E-01   0.1172023E-01   0.1280018E-01
0.4000000E+01   0.1280060E-01   0.1172023E-01   0.1280018E-01
0.5000000E+01   0.1280051E-01   0.1172022E-01   0.1280018E-01
0.6000000E+01   0.1280046E-01   0.1172022E-01   0.1280018E-01
0.7000000E+01   0.1280042E-01   0.1172022E-01   0.1280018E-01
0.8000000E+01   0.1280039E-01   0.1172022E-01   0.1280018E-01
0.9000000E+01   0.1280036E-01   0.1172022E-01   0.1280018E-01
0.1000000E+02   0.1280035E-01   0.1172022E-01   0.1280018E-01
