0.2944544E+02   0.1276185E+00
0.7474411E+01   0.2817705E-01
0.4114016E+01   0.1900243E-01
0.2832962E+01   0.1596951E-01
0.2159553E+01   0.1447926E-01
0.1744621E+01   0.1359688E-01
0.1463376E+01   0.1301438E-01
0.1260194E+01   0.1260141E-01
0.1106542E+01   0.1229348E-01
0.9862806E+00   0.1205510E-01
0.4725930E+00   0.1106292E-01
0.3107398E+00   0.1075906E-01
0.2314664E+00   0.1061176E-01
0.1844187E+00   0.1052482E-01
0.1532659E+00   0.1046745E-01
0.1311171E+00   0.1042675E-01
0.1145615E+00   0.1039638E-01
0.1017179E+00   0.1037285E-01
0.9146395E-01   0.1035409E-01
0.4554781E-01   0.1027026E-01
0.3032450E-01   0.1024255E-01
0.2272814E-01   0.1022873E-01
0.1817520E-01   0.1022045E-01
0.1514195E-01   0.1021494E-01
0.1297633E-01   0.1021101E-01
0.1135266E-01   0.1020806E-01
0.1009013E-01   0.1020576E-01
0.9080306E-02   0.1020393E-01
0.4538331E-02   0.1019568E-01
0.3025149E-02   0.1019294E-01
0.2268710E-02   0.1019156E-01
0.1814896E-02   0.1019074E-01
0.1512373E-02   0.1019019E-01
0.1296295E-02   0.1018980E-01
0.1134240E-02   0.1018950E-01
0.1008204E-02   0.1018927E-01
0.9073728E-03   0.1018909E-01
0.4536683E-03   0.1018827E-01
0.3024516E-03   0.1018799E-01
0.2268301E-03   0.1018786E-01
0.1814689E-03   0.1018777E-01
0.1512348E-03   0.1018772E-01
0.1296155E-03   0.1018768E-01
0.1134030E-03   0.1018765E-01
0.1008192E-03   0.1018763E-01
0.9073448E-04   0.1018761E-01
