Relay_ID	MI_bits	W2_distance	Geometric_fidelity_W2_inverse	Gamma_G
1	4.3709999605e-01	2.4313671150e-01	4.1129124180e+00	5.4677737841e-01
2	4.3709999605e-01	1.1143375074e+00	8.9739418566e-01	nan
