Normalized_signaling_variable	P_X_input	P_ZG_graded_output	P_ZB_switch_like_output
1.0202550638e-01	4.0714397822e-37	1.1336430163e-04	1.9095477352e-19
1.0352588147e-01	6.8979093428e-37	1.1442785795e-04	2.0980212257e-19
1.0502625656e-01	1.1370269075e-36	1.1549970763e-04	2.3027366465e-19
1.0652663166e-01	1.8164885935e-36	1.1657989534e-04	2.5247095083e-19
1.0802700675e-01	2.8007649366e-36	1.1767058976e-04	2.7702720654e-19
1.0952738185e-01	4.5966234340e-36	1.1877190422e-04	3.0424563678e-19
1.1102775694e-01	7.3599083373e-36	1.1988178337e-04	3.3379878440e-19
1.1252813203e-01	1.1458946692e-35	1.2100027320e-04	3.6583194590e-19
1.1402850713e-01	1.7291001322e-35	1.2212961303e-04	4.0125376426e-19
1.1552888222e-01	2.7585626868e-35	1.2326991953e-04	4.4049770389e-19
1.1702925731e-01	4.3036658320e-35	1.2441907003e-04	4.8309221630e-19
1.1852963241e-01	6.5471818976e-35	1.2557711189e-04	5.2924484268e-19
1.2003000750e-01	9.6872551009e-35	1.2674635714e-04	5.8025729635e-19
1.2153038260e-01	1.5067426380e-34	1.2792692586e-04	6.3674823314e-19
1.2303075769e-01	2.2964436334e-34	1.2911662610e-04	6.9803972770e-19
1.2453113278e-01	3.4212399234e-34	1.3031550660e-04	7.6442773939e-19
1.2603150788e-01	4.9720376941e-34	1.3152595422e-04	8.3777403107e-19
1.2753188297e-01	7.5585117517e-34	1.3274809256e-04	9.1896010439e-19
1.2903225806e-01	1.1279469810e-33	1.3397965834e-04	1.0070129414e-18
1.3053263316e-01	1.6487788206e-33	1.3522070172e-04	1.1023538873e-18
1.3203300825e-01	2.3570152035e-33	1.3647368657e-04	1.2076413412e-18
1.3353338335e-01	3.5096451817e-33	1.3773874009e-04	1.3241292387e-18
1.3503375844e-01	5.1379734736e-33	1.3901352558e-04	1.4504233216e-18
1.3653413353e-01	7.3813409687e-33	1.4029809465e-04	1.5871224457e-18
1.3803450863e-01	1.0393297814e-32	1.4159499043e-04	1.7380162915e-18
1.3953488372e-01	1.5186690781e-32	1.4290434379e-04	1.9048856182e-18
1.4103525881e-01	2.1847313238e-32	1.4422374249e-04	2.0857358585e-18
1.4253563391e-01	3.0891801442e-32	1.4555323963e-04	2.2814167481e-18
1.4403600900e-01	4.2892770339e-32	1.4689545985e-04	2.4973217975e-18
1.4553638410e-01	6.1603980438e-32	1.4825053782e-04	2.7359757239e-18
1.4703675919e-01	8.7214335972e-32	1.4961598354e-04	2.9945298888e-18
1.4853713428e-01	1.2153188744e-31	1.5099185165e-04	3.2741880058e-18
1.5003750938e-01	1.6657250904e-31	1.5238085066e-04	3.5826135676e-18
1.5153788447e-01	2.3548422132e-31	1.5378311909e-04	3.9233801058e-18
1.5303825956e-01	3.2850799277e-31	1.5519608697e-04	4.2924259101e-18
1.5453863466e-01	4.5164385894e-31	1.5661981049e-04	4.6914532946e-18
1.5603900975e-01	6.1162236406e-31	1.5805708444e-04	5.1313332245e-18
1.5753938485e-01	8.5216011640e-31	1.5950805131e-04	5.6171153300e-18
1.5903975994e-01	1.1727513704e-30	1.6097005881e-04	6.1430178074e-18
1.6054013503e-01	1.5923537293e-30	1.6244316476e-04	6.7114440955e-18
1.6204051013e-01	2.1323660780e-30	1.6393025267e-04	7.3377897531e-18
1.6354088522e-01	2.9313135783e-30	1.6543146909e-04	8.0291783600e-18
1.6504126032e-01	3.9837103564e-30	1.6694407707e-04	8.7773931592e-18
1.6654163541e-01	5.3467928322e-30	1.6846813609e-04	9.5858218372e-18
