# q	x_q
1.991992e-01	4.536192e-02
2.002002e-01	4.546039e-02
2.012012e-01	4.555885e-02
2.022022e-01	4.565731e-02
2.032032e-01	4.575577e-02
2.042042e-01	4.585423e-02
2.052052e-01	4.595270e-02
2.062062e-01	4.605116e-02
2.072072e-01	4.614962e-02
2.082082e-01	4.624808e-02
2.092092e-01	4.634655e-02
2.102102e-01	4.644501e-02
2.112112e-01	4.654347e-02
2.122122e-01	4.664193e-02
2.132132e-01	4.674040e-02
2.142142e-01	4.683886e-02
2.152152e-01	4.693732e-02
2.162162e-01	4.703578e-02
2.172172e-01	4.713424e-02
2.182182e-01	4.723271e-02
2.192192e-01	4.733117e-02
2.202202e-01	4.742963e-02
2.212212e-01	4.752809e-02
2.222222e-01	4.762656e-02
2.232232e-01	4.772502e-02
2.242242e-01	4.782348e-02
2.252252e-01	4.792194e-02
2.262262e-01	4.802040e-02
2.272272e-01	4.811887e-02
2.282282e-01	4.821733e-02
2.292292e-01	4.831579e-02
2.302302e-01	4.841425e-02
2.312312e-01	4.851272e-02
2.322322e-01	4.861118e-02
2.332332e-01	4.870964e-02
2.342342e-01	4.880810e-02
2.352352e-01	4.890656e-02
2.362362e-01	4.900503e-02
2.372372e-01	4.910349e-02
2.382382e-01	4.920195e-02
2.392392e-01	4.930041e-02
2.402402e-01	4.939888e-02
2.412412e-01	4.949734e-02
2.422422e-01	4.959580e-02
2.432432e-01	4.969426e-02
2.442442e-01	4.979272e-02
2.452452e-01	4.989119e-02
2.462462e-01	4.998965e-02
2.472472e-01	5.008811e-02
2.482482e-01	5.018657e-02
2.492492e-01	5.028504e-02
2.502503e-01	5.038350e-02
2.512513e-01	5.048196e-02
2.522523e-01	5.058042e-02
2.532533e-01	5.067888e-02
2.542543e-01	5.077735e-02
2.552553e-01	5.087581e-02
2.562563e-01	5.097427e-02
2.572573e-01	5.107273e-02
2.582583e-01	5.117120e-02
2.592593e-01	5.126966e-02
2.602603e-01	5.136812e-02
2.612613e-01	5.146658e-02
2.622623e-01	5.156504e-02
2.632633e-01	5.166351e-02
2.642643e-01	5.176197e-02
2.652653e-01	5.186043e-02
2.662663e-01	5.195889e-02
2.672673e-01	5.205736e-02
2.682683e-01	5.215582e-02
2.692693e-01	5.225428e-02
2.702703e-01	5.235274e-02
2.712713e-01	5.245121e-02
2.722723e-01	5.254967e-02
2.732733e-01	5.264813e-02
2.742743e-01	5.274659e-02
2.752753e-01	5.284505e-02
2.762763e-01	5.294352e-02
2.772773e-01	5.304198e-02
2.782783e-01	5.314044e-02
2.792793e-01	5.323890e-02
2.802803e-01	5.333737e-02
2.812813e-01	5.343583e-02
2.822823e-01	5.353429e-02
2.832833e-01	5.363275e-02
2.842843e-01	5.373121e-02
2.852853e-01	5.382968e-02
2.862863e-01	5.392814e-02
2.872873e-01	5.402660e-02
2.882883e-01	5.412506e-02
2.892893e-01	5.422353e-02
2.902903e-01	5.432199e-02
2.912913e-01	5.442045e-02
2.922923e-01	5.451891e-02
2.932933e-01	5.461737e-02
2.942943e-01	5.471584e-02
2.952953e-01	5.481430e-02
2.962963e-01	5.491276e-02
2.972973e-01	5.501122e-02
2.982983e-01	5.510969e-02
2.992993e-01	5.520815e-02
3.003003e-01	5.530661e-02
3.013013e-01	5.540507e-02
3.023023e-01	5.550353e-02
3.033033e-01	5.560200e-02
3.043043e-01	5.570046e-02
3.053053e-01	5.579892e-02
3.063063e-01	5.589738e-02
3.073073e-01	5.599585e-02
3.083083e-01	5.609431e-02
3.093093e-01	5.619277e-02
3.103103e-01	5.629123e-02
3.113113e-01	5.638969e-02
3.123123e-01	5.648816e-02
3.133133e-01	5.658662e-02
3.143143e-01	5.668508e-02
3.153153e-01	5.678354e-02
3.163163e-01	5.688201e-02
3.173173e-01	5.698047e-02
3.183183e-01	5.707893e-02
3.193193e-01	5.717739e-02
3.203203e-01	5.727586e-02
3.213213e-01	5.737432e-02
3.223223e-01	5.747278e-02
3.233233e-01	5.757124e-02
3.243243e-01	5.766970e-02
3.253253e-01	5.776817e-02
3.263263e-01	5.786663e-02
3.273273e-01	5.796509e-02
3.283283e-01	5.806355e-02
3.293293e-01	5.816202e-02
3.303303e-01	5.826048e-02
3.313313e-01	5.835894e-02
3.323323e-01	5.845740e-02
