# q	x_q
1.991992e-01	1.036624e-01
2.002002e-01	1.039853e-01
2.012012e-01	1.043081e-01
2.022022e-01	1.046309e-01
2.032032e-01	1.049538e-01
2.042042e-01	1.052766e-01
2.052052e-01	1.055994e-01
2.062062e-01	1.059223e-01
2.072072e-01	1.062451e-01
2.082082e-01	1.065679e-01
2.092092e-01	1.068908e-01
2.102102e-01	1.072136e-01
2.112112e-01	1.075364e-01
2.122122e-01	1.078593e-01
2.132132e-01	1.081821e-01
2.142142e-01	1.085049e-01
2.152152e-01	1.088278e-01
2.162162e-01	1.091506e-01
2.172172e-01	1.094734e-01
2.182182e-01	1.097963e-01
2.192192e-01	1.101191e-01
2.202202e-01	1.104419e-01
2.212212e-01	1.107648e-01
2.222222e-01	1.110876e-01
2.232232e-01	1.114104e-01
2.242242e-01	1.117333e-01
2.252252e-01	1.120561e-01
2.262262e-01	1.123789e-01
2.272272e-01	1.127017e-01
2.282282e-01	1.130246e-01
2.292292e-01	1.133474e-01
2.302302e-01	1.136702e-01
2.312312e-01	1.139931e-01
2.322322e-01	1.143159e-01
2.332332e-01	1.146387e-01
2.342342e-01	1.149616e-01
2.352352e-01	1.152844e-01
2.362362e-01	1.156072e-01
2.372372e-01	1.159301e-01
2.382382e-01	1.162529e-01
2.392392e-01	1.165757e-01
2.402402e-01	1.168986e-01
2.412412e-01	1.172214e-01
2.422422e-01	1.175442e-01
2.432432e-01	1.178671e-01
2.442442e-01	1.181899e-01
2.452452e-01	1.185127e-01
2.462462e-01	1.188356e-01
2.472472e-01	1.191584e-01
2.482482e-01	1.194812e-01
2.492492e-01	1.198041e-01
2.502503e-01	1.201269e-01
2.512513e-01	1.204497e-01
2.522523e-01	1.207726e-01
2.532533e-01	1.210954e-01
2.542543e-01	1.214182e-01
2.552553e-01	1.217410e-01
2.562563e-01	1.220639e-01
2.572573e-01	1.223867e-01
2.582583e-01	1.227095e-01
2.592593e-01	1.230324e-01
2.602603e-01	1.233552e-01
2.612613e-01	1.236780e-01
2.622623e-01	1.240009e-01
2.632633e-01	1.243237e-01
2.642643e-01	1.246465e-01
2.652653e-01	1.249694e-01
2.662663e-01	1.252922e-01
2.672673e-01	1.256150e-01
2.682683e-01	1.259379e-01
2.692693e-01	1.262607e-01
2.702703e-01	1.265835e-01
2.712713e-01	1.269064e-01
2.722723e-01	1.272292e-01
2.732733e-01	1.275520e-01
2.742743e-01	1.278749e-01
2.752753e-01	1.281977e-01
2.762763e-01	1.285205e-01
2.772773e-01	1.288434e-01
2.782783e-01	1.291662e-01
2.792793e-01	1.294890e-01
2.802803e-01	1.298119e-01
2.812813e-01	1.301347e-01
2.822823e-01	1.304575e-01
2.832833e-01	1.307803e-01
2.842843e-01	1.311032e-01
2.852853e-01	1.314260e-01
2.862863e-01	1.317488e-01
2.872873e-01	1.320717e-01
2.882883e-01	1.323945e-01
2.892893e-01	1.327173e-01
2.902903e-01	1.330402e-01
2.912913e-01	1.333630e-01
2.922923e-01	1.336858e-01
2.932933e-01	1.340087e-01
2.942943e-01	1.343315e-01
2.952953e-01	1.346543e-01
2.962963e-01	1.349772e-01
2.972973e-01	1.353000e-01
2.982983e-01	1.356228e-01
2.992993e-01	1.359457e-01
3.003003e-01	1.362685e-01
3.013013e-01	1.365913e-01
3.023023e-01	1.369142e-01
3.033033e-01	1.372370e-01
3.043043e-01	1.375598e-01
3.053053e-01	1.378827e-01
3.063063e-01	1.382055e-01
3.073073e-01	1.385283e-01
3.083083e-01	1.388512e-01
3.093093e-01	1.391740e-01
3.103103e-01	1.394968e-01
3.113113e-01	1.398196e-01
3.123123e-01	1.401425e-01
3.133133e-01	1.404653e-01
3.143143e-01	1.407881e-01
3.153153e-01	1.411110e-01
3.163163e-01	1.414338e-01
3.173173e-01	1.417566e-01
3.183183e-01	1.420795e-01
3.193193e-01	1.424023e-01
3.203203e-01	1.427251e-01
3.213213e-01	1.430480e-01
3.223223e-01	1.433708e-01
3.233233e-01	1.436936e-01
3.243243e-01	1.440165e-01
3.253253e-01	1.443393e-01
3.263263e-01	1.446621e-01
3.273273e-01	1.449850e-01
3.283283e-01	1.453078e-01
3.293293e-01	1.456306e-01
3.303303e-01	1.459535e-01
3.313313e-01	1.462763e-01
3.323323e-01	1.465991e-01
3.333333e-01	1.469220e-01
3.343343e-01	1.472448e-01
3.353353e-01	1.475676e-01
3.363363e-01	1.478905e-01
3.373373e-01	1.482133e-01
3.383383e-01	1.485361e-01
3.393393e-01	1.488589e-01
3.403403e-01	1.491818e-01
3.413413e-01	1.495046e-01
3.423423e-01	1.498274e-01
3.433433e-01	1.501503e-01
3.443443e-01	1.504731e-01
3.453453e-01	1.507959e-01
3.463463e-01	1.511188e-01
3.473473e-01	1.514416e-01
3.483483e-01	1.517644e-01
3.493493e-01	1.520873e-01
3.503504e-01	1.524101e-01
3.513514e-01	1.527329e-01
3.523524e-01	1.530558e-01
3.533534e-01	1.533786e-01
3.543544e-01	1.537014e-01
3.553554e-01	1.540243e-01
3.563564e-01	1.543471e-01
3.573574e-01	1.546699e-01
3.583584e-01	1.549928e-01
3.593594e-01	1.553156e-01
3.603604e-01	1.556384e-01
3.613614e-01	1.559613e-01
3.623624e-01	1.562841e-01
3.633634e-01	1.566069e-01
3.643644e-01	1.569298e-01
3.653654e-01	1.572526e-01
3.663664e-01	1.575754e-01
3.673674e-01	1.578982e-01
3.683684e-01	1.582211e-01
3.693694e-01	1.585439e-01
3.703704e-01	1.588667e-01
3.713714e-01	1.591896e-01
