# x_val	CDF(x)
0.000000e+00	2.149828e-03
2.100000e-03	3.977840e-03
5.200000e-03	3.977840e-03
1.300000e-02	3.977840e-03
3.300000e-02	5.755380e-03
8.200000e-02	1.320308e-01
2.000000e-01	4.979117e-01
5.100000e-01	6.779323e-01
1.300000e+00	7.286820e-01
3.200000e+00	9.999906e-01
8.000000e+00	9.999939e-01
2.000000e+01	9.999974e-01
5.000000e+01	1.000000e+00
