0.8461137E+02   0.4523553E+01
0.5960287E+02   0.4023576E+01
0.4848105E+02   0.3731134E+01
0.4182637E+02   0.3523670E+01
0.3726832E+02   0.3362776E+01
0.3389153E+02   0.3231346E+01
0.3125770E+02   0.3120252E+01
0.2912712E+02   0.3024047E+01
0.2735617E+02   0.2939219E+01
0.2585283E+02   0.2863368E+01
0.1758686E+02   0.2365774E+01
0.1380942E+02   0.2077362E+01
0.1149906E+02   0.1875586E+01
0.9889548E+01   0.1722011E+01
0.8682730E+01   0.1599466E+01
0.7734628E+01   0.1498730E+01
0.6965666E+01   0.1414233E+01
0.6327533E+01   0.1342322E+01
0.5788778E+01   0.1280445E+01
0.3018275E+01   0.9505822E+00
0.1991897E+01   0.8271148E+00
0.1476085E+01   0.7658116E+00
0.1169638E+01   0.7297910E+00
0.9675750E+00   0.7062417E+00
0.8246354E+00   0.6896917E+00
0.7183011E+00   0.6774430E+00
0.6361582E+00   0.6680196E+00
0.5708191E+00   0.6605489E+00
0.2813045E+00   0.6277300E+00
0.1865734E+00   0.6170979E+00
0.1395624E+00   0.6118422E+00
0.1114719E+00   0.6087084E+00
0.9279383E-01   0.6066274E+00
0.7947646E-01   0.6051451E+00
0.6950169E-01   0.6040355E+00
0.6175143E-01   0.6031739E+00
0.5555620E-01   0.6024854E+00
0.2773273E-01   0.5993964E+00
0.1847837E-01   0.5983701E+00
0.1385497E-01   0.5978575E+00
0.1108215E-01   0.5975502E+00
0.9234114E-02   0.5973454E+00
0.7914333E-02   0.5971992E+00
0.6924634E-02   0.5970895E+00
0.6154948E-02   0.5970043E+00
0.5539250E-02   0.5969361E+00
