0.8439089E+02   0.3938602E+01
0.5929148E+02   0.3438662E+01
0.4810022E+02   0.3146280E+01
0.4138730E+02   0.2938901E+01
0.3677822E+02   0.2778118E+01
0.3335555E+02   0.2646824E+01
0.3067980E+02   0.2535892E+01
0.2851047E+02   0.2439876E+01
0.2670339E+02   0.2355263E+01
0.2516614E+02   0.2279654E+01
0.1664009E+02   0.1786016E+01
0.1268968E+02   0.1504441E+01
0.1026240E+02   0.1312326E+01
0.8579088E+01   0.1170935E+01
0.7333012E+01   0.1062598E+01
0.6372987E+01   0.9774928E+00
0.5612993E+01   0.9094380E+00
0.4999072E+01   0.8542345E+00
0.4495049E+01   0.8088926E+00
0.2157981E+01   0.6018750E+00
0.1397880E+01   0.5371514E+00
0.1030662E+01   0.5066077E+00
0.8154934E+00   0.4889626E+00
0.6744018E+00   0.4775003E+00
0.5748311E+00   0.4694646E+00
0.5008334E+00   0.4635222E+00
0.4436905E+00   0.4589508E+00
0.3982384E+00   0.4553257E+00
0.1966487E+00   0.4393684E+00
0.1305429E+00   0.4341796E+00
0.9769777E-01   0.4316097E+00
0.7805746E-01   0.4300756E+00
0.6499183E-01   0.4290562E+00
0.5567294E-01   0.4283296E+00
0.4869126E-01   0.4277856E+00
0.4326552E-01   0.4273630E+00
0.3892773E-01   0.4270252E+00
0.1943856E-01   0.4255089E+00
0.1295341E-01   0.4250047E+00
0.9712950E-02   0.4247529E+00
0.7769346E-02   0.4246019E+00
0.6473892E-02   0.4245012E+00
0.5548705E-02   0.4244294E+00
0.4854891E-02   0.4243755E+00
0.4315302E-02   0.4243335E+00
0.3883659E-02   0.4243000E+00
