0.1000000E-03   0.6132192E+02   0.6295133E+00   0.7630034E+00
0.2000000E-03   0.2566568E+02   0.2083559E+00   0.5008691E+00
0.3000000E-03   0.1226951E+02   0.8874915E-01   0.3402426E+00
0.4000000E-03   0.7534473E+01   0.5699498E-01   0.2756283E+00
0.5000000E-03   0.5377096E+01   0.4468861E-01   0.2450950E+00
0.6000000E-03   0.4169227E+01   0.3841901E-01   0.2277423E+00
0.7000000E-03   0.3401467E+01   0.3467022E-01   0.2166249E+00
0.8000000E-03   0.2871431E+01   0.3219057E-01   0.2089127E+00
0.9000000E-03   0.2483861E+01   0.3043384E-01   0.2032551E+00
0.1000000E-02   0.2188256E+01   0.2912616E-01   0.1989299E+00
0.2000000E-02   0.9983570E+00   0.2414601E-01   0.1814371E+00
0.3000000E-02   0.6465555E+00   0.2276118E-01   0.1762415E+00
0.4000000E-02   0.4780708E+00   0.2211218E-01   0.1737496E+00
0.5000000E-02   0.3792405E+00   0.2173579E-01   0.1722868E+00
0.6000000E-02   0.3142707E+00   0.2149008E-01   0.1713248E+00
0.7000000E-02   0.2683053E+00   0.2131708E-01   0.1706439E+00
0.8000000E-02   0.2340698E+00   0.2118867E-01   0.1701367E+00
0.8999999E-02   0.2075824E+00   0.2108959E-01   0.1697443E+00
0.1000000E-01   0.1864801E+00   0.2101081E-01   0.1694316E+00
0.2000000E-01   0.9247350E-01   0.2066165E-01   0.1680381E+00
0.3000000E-01   0.6148043E-01   0.2054716E-01   0.1675785E+00
0.4000000E-01   0.4604735E-01   0.2049027E-01   0.1673496E+00
0.5000000E-01   0.3680772E-01   0.2045625E-01   0.1672126E+00
0.6000000E-01   0.3065636E-01   0.2043361E-01   0.1671213E+00
0.7000000E-01   0.2626665E-01   0.2041747E-01   0.1670562E+00
0.8000000E-01   0.2297660E-01   0.2040537E-01   0.1670074E+00
0.8999999E-01   0.2041901E-01   0.2039597E-01   0.1669695E+00
0.1000000E+00   0.1837377E-01   0.2038845E-01   0.1669392E+00
0.2000000E+00   0.9179380E-02   0.2035468E-01   0.1668028E+00
0.3000000E+00   0.6117921E-02   0.2034344E-01   0.1667574E+00
0.4000000E+00   0.4587816E-02   0.2033782E-01   0.1667347E+00
0.5000000E+00   0.3669952E-02   0.2033445E-01   0.1667211E+00
0.6000000E+00   0.3058128E-02   0.2033221E-01   0.1667120E+00
0.7000000E+00   0.2621150E-02   0.2033060E-01   0.1667055E+00
0.8000000E+00   0.2293439E-02   0.2032940E-01   0.1667006E+00
0.9000000E+00   0.2038566E-02   0.2032847E-01   0.1666969E+00
0.1000000E+01   0.1834678E-02   0.2032772E-01   0.1666938E+00
0.2000000E+01   0.9172621E-03   0.2032435E-01   0.1666802E+00
0.3000000E+01   0.6114919E-03   0.2032323E-01   0.1666757E+00
0.4000000E+01   0.4586092E-03   0.2032267E-01   0.1666734E+00
0.5000000E+01   0.3668858E-03   0.2032233E-01   0.1666721E+00
0.6000000E+01   0.3057355E-03   0.2032211E-01   0.1666712E+00
0.7000000E+01   0.2620574E-03   0.2032195E-01   0.1666705E+00
0.8000000E+01   0.2292947E-03   0.2032183E-01   0.1666700E+00
0.9000000E+01   0.2038276E-03   0.2032174E-01   0.1666696E+00
0.1000000E+02   0.1834429E-03   0.2032166E-01   0.1666693E+00
