0.1241273E-01   0.1939254E+01
0.1857532E-01   0.1441460E+01
0.2416731E-01   0.1153045E+01
0.2976210E-01   0.9518103E+00
0.3562449E-01   0.7997199E+00
0.4192417E-01   0.6800079E+00
0.4878121E-01   0.5838007E+00
0.5627464E-01   0.5057478E+00
0.6444148E-01   0.4422287E+00
0.7327706E-01   0.3905278E+00
0.1851022E+00   0.1855713E+00
0.3111190E+00   0.1407695E+00
0.4397467E+00   0.1231478E+00
0.5691806E+00   0.1139005E+00
0.6989579E+00   0.1082345E+00
0.8289114E+00   0.1044149E+00
0.9589671E+00   0.1016683E+00
0.1089087E+01   0.9959937E-01
0.1219249E+01   0.9798535E-01
0.2521755E+01   0.9115077E-01
0.3824701E+01   0.8901974E-01
0.5127748E+01   0.8798031E-01
0.6430834E+01   0.8736481E-01
0.7733940E+01   0.8695783E-01
0.9037057E+01   0.8666877E-01
0.1034018E+02   0.8645286E-01
0.1164330E+02   0.8628545E-01
0.1294644E+02   0.8615185E-01
0.2597782E+02   0.8555426E-01
0.3900923E+02   0.8535636E-01
0.5204066E+02   0.8525765E-01
0.6507209E+02   0.8519850E-01
0.7810352E+02   0.8515910E-01
0.9113495E+02   0.8513098E-01
0.1041663E+03   0.8510989E-01
0.1171978E+03   0.8509350E-01
0.1302292E+03   0.8508038E-01
0.2605436E+03   0.8502141E-01
0.3908578E+03   0.8500177E-01
0.5211721E+03   0.8499195E-01
0.6514870E+03   0.8498605E-01
0.7818013E+03   0.8498213E-01
0.9121170E+03   0.8497932E-01
0.1042429E+04   0.8497722E-01
0.1172745E+04   0.8497558E-01
0.1303058E+04   0.8497427E-01
