Dose	Fit_Response
0.000000	6131.977012
0.002100	6132.031883
0.005200	6132.112883
0.013000	6132.316691
0.033000	6132.839275
0.082000	6134.119606
0.200000	6137.202853
0.510000	6145.302906
1.300000	6165.944979
3.200000	6215.590469
8.000000	6341.010656
20.000000	6654.561122
50.000000	7438.437287
